"LATITUDE","LONGITUDE"
15.732042,78.344397
15.7366402,78.3411884
13.9648047,77.6766443
14.2328956,77.6109731
14.1774123,77.541182
14.0929582,77.6192665
13.8400801,77.7347946
16.238684,80.83428
13.6328386,78.4527254
13.8244014,79.9500042
13.6427339,78.4366322
13.6780244,80.1112748
13.7382456,79.3737774
13.64827,78.3971
13.64735,78.4143698
16.6346294,80.9710407
18.3268255,82.8792286
15.7136943,78.3917856
15.7270995,78.3766741
14.1384067,79.856143
17.6383574,81.6106686
13.64796,78.46555
13.0684833,78.5623333
14.01832,77.44169
14.20178,77.63039
14.02266,77.44527
15.7325005,78.3468908
13.7243563,80.1191926
15.26396,77.76663
15.45427,77.88918
13.11773,79.12166
13.69297,79.59044
13.73401,79.68101
13.07401,79.11019
13.7200413,80.1109314
16.97789,81.45748
18.74945,84.40065
18.71997,84.36956
18.59055,84.21616
18.48189,84.12199
18.33138,83.94834
18.17247,83.68162
18.08488,83.54977
18.16225,83.65843
17.5993575,81.7150211
13.6811476,79.3429506
15.6895896,80.2366465
16.2422377,80.6402922
17.7660976,83.3377361
13.8419552,77.7344942
13.9302976,77.6930809
14.917209,77.585823
15.2668182,77.7649856
15.8645903,78.010869
15.858417,78.034837
16.9942172,82.2688544
16.9875683,82.2722232
17.0535998,82.2547352
13.613,78.429
15.0176556,78.0462376
13.646,78.465
13.649615,78.401404
13.6610957,78.338554
13.8155772,79.1960621
13.6110516,78.5978866
13.578,78.562
13.507,78.679
14.4656407,78.8260058
13.6821132,78.5219011
13.6695199,78.5314182
13.6187451,78.541015
13.7831151,78.5904451
13.7913082,78.6019658
13.7948703,78.6345235
13.7946727,78.6448876
13.7919266,78.6749389
13.7475866,78.6807991
13.7042579,78.675965
13.6727594,78.6635074
13.6381368,78.5765128
13.6427871,78.5624698
13.6021873,78.5324439
13.6549893,78.5587192
13.6743366,78.5687531
13.6646887,78.5645164
13.654581,78.5543223
13.8172223,77.4999297
13.645498,79.371449
13.6330413,78.4058729
14.54845,79.86094
14.7756294,79.0752554
