ASSET.ID,LONGITUDE,LATITUDE,group.id,DISTRICT,ST_NM,g2clip,g3clip,day,month,cyear,type,link,Type,data,,,,,,,,
201068131,76.8893809,28.4638333,S64989133,Gurgaon,Haryana,1255,307,213,8,1994,B,,,ebird,,,,,,,,
41691991,78.2737255,17.5033487,S32847487,Medak,Telangana,2883,738,209,7,2000,W,,transition,ebird,,,,,,,,
41692001,78.2737255,17.5033487,S32847487,Medak,Telangana,2883,738,209,7,2000,W,,,ebird,,,,,,,,
201994301,76.9689,28.4867,S65201035,Gurgaon,Haryana,1255,307,219,8,2012,B,,,ebird,,,,,,,,
167688971,92.8289,26.9196,S58076764,Sonitpur,Assam,1550,391,65,3,2013,NA,,,ebird,,,,,,,,
167689011,92.8289,26.9196,S58076764,Sonitpur,Assam,1550,391,65,3,2013,NA,,,ebird,,,,,,,,
,80.254315,26.504957,,Kanpur,Uttar Pradesh,,,173,6,2013,B,https://www.facebook.com/photo.php?fbid=10151539458083860&set=p.10151539458083860&type=1&theater,,,,,,,,,,
206081441,76.964,28.4699,S65200099,Gurgaon,Haryana,1255,307,207,7,2013,B,,transition,ebird,,,,,,,,
20174251,80.9334683,26.7520103,S18097253,Lucknow,Uttar Pradesh,1524,378,117,4,2014,NA,,,ebird,,,,,,,,
182723511,72.0231432,22.7923445,S60541626,Ahmadabad,Gujarat,,,285,10,2019,B,,transition,ebird,,,,,,,,
182723521,72.0231432,22.7923445,S60541626,Ahmadabad,Gujarat,,,285,10,2019,B,,transition,ebird,,,,,,,,
182723541,72.0231432,22.7923445,S60541626,Ahmadabad,Gujarat,,,285,10,2019,B,,transition,ebird,,,,,,,,
182723551,72.0231432,22.7923445,S60541626,Ahmadabad,Gujarat,,,285,10,2019,B,,transition,ebird,,,,,,,,
219803301,72.0231432,22.7923445,S60581348,Ahmadabad,Gujarat,,,286,10,2019,B,,transition,ebird,,,,,,,,
219803321,72.0231432,22.7923445,S60581348,Ahmadabad,Gujarat,,,286,10,2019,B,,transition,ebird,,,,,,,,
219803351,72.0231432,22.7923445,S60581348,Ahmadabad,Gujarat,,,286,10,2019,B,,,ebird,,,,,,,,
219803401,72.0231432,22.7923445,S60581348,Ahmadabad,Gujarat,,,286,10,2019,B,,,ebird,,,,,,,,
219803371,72.0231432,22.7923445,S60581348,Ahmadabad,Gujarat,,,286,10,2019,B,,transition,ebird,,,,,,,,
219803421,72.0231432,22.7923445,S60581348,Ahmadabad,Gujarat,,,286,10,2019,B,,,ebird,,,,,,,,
219803421,72.0231432,22.7923445,S60581348,Ahmadabad,Gujarat,,,286,10,2019,B,,transition,ebird,,,,,,,,
66780401,78.9414454,29.3153657,S38745877,Udham Singh Nagar,Uttarakhand,,,232,8,2017,B,,transition,ebird,,,,,,,,
146002741,79.9867356,12.5522335,S53973568,Kancheepuram,Tamil Nadu,3602,905,156,6,2014,W,,,ebird,,,,,,,,
20174241,80.9334683,26.7520103,S18724484,Lucknow,Uttar Pradesh,1524,378,159,6,2014,B,,,ebird,,,,,,,,
