"COMMON.NAME","Bhatikhana wetlands JG","Joka Wetlands","Rabindra Sarovar (including Lion's Safari Park)","Alitakhali","Piyali Island Tourist Lodge","Farakka IBA Panchanandapur (count 1)","Jagannathpur Wetland 1","Jagannathpur Wetland 2","Ash Pond of Farakka Thermal Power Project","Rampara","Ahiron Wetland","Diara","Naya Bundh Wetland Complex (IBA)","Gajoldoba Barrage JG","Rajarhat Wetlands I","Sagardighi Ash Pond","Baruipur Marshes","Binod Dighi","Unnamed Road, Bayra, West Bengal, IN (24.446, 88.207)","Saheb Bandh","Ballavpur WLS Jheel 2","Ballavpur WLS Jheel 3","Ballavpur WLS Jheel 1","Tajpur (count 1)","Tajpur (count 2)","Jaypur","Bakreshwar Dam (count 1)","Nalban Bheri","Nabagram (count 1)","Nabagram (count 2)","Santragachi Jheel (Lake)","Bortibeel (count 1)","Bortibeel (count 2)","Bakreshwar Dam (count 2)","Kharibari","Purbasthali Bird Sanctuary PUB","Shyamkhola Birding Place","Bara Sagardighi Fish Farm","10 no spar teesta riverbed","Karjjana Wetland 1","Karjjana Wetland 2","Bosipota","Farakka IBA Panchanandapur (count 2)","Sundoriya Bill","Sahaspur","Kamalpur","Fulbari Grassland"
"Asian Openbill","1","12","16","0","0","25","1","21","0","16","0","18","0","3","63","0","150","16","0","0","0","0","0","0","0","0","17","0","5","13","0","35","25","30","75","50","40","0","15","0","0","35","80","16","0","0","2"
"Asian Pied Starling","10","2","X","0","0","10","0","0","0","20","0","14","60","40","8","0","X","100","0","0","0","0","0","0","0","0","0","63","55","35","6","5","0","50","33","100","0","24","8","6","7","1","52","13","0","0","10"
"Black Kite","5","0","X","0","0","5","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","4","4","3","10","1","2","2","2","0","2","4","20","0","2","1","3","0","0","0","6"
"Bluethroat","2","0","0","0","0","2","0","0","0","1","0","2","1","0","1","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","0","6","4","0","0","0","5"
"Bronze-winged Jacana","15","6","0","0","0","0","0","0","0","2","20","12","0","1","16","0","48","0","0","0","2","0","22","0","0","1","3","0","1","4","4","0","0","0","0","20","0","3","0","4","0","1","0","3","0","0","0"
"Citrine Wagtail","2","1","0","0","0","2","0","0","0","0","0","7","0","0","2","0","15","0","0","0","0","0","0","0","0","0","0","5","X","14","0","2","1","0","2","20","0","2","5","0","0","16","14","0","0","0","200"
"Common Kingfisher","2","1","0","0","0","0","0","0","0","2","0","7","0","0","0","0","6","0","0","0","0","0","0","0","1","0","4","4","0","0","0","2","0","0","0","2","0","2","1","0","1","1","2","2","0","0","0"
"Common Myna","10","10","X","0","0","5","0","0","0","5","0","12","15","50","6","0","X","0","0","0","0","0","0","15","12","0","0","14","5","0","4","2","0","30","11","30","0","11","25","3","3","3","6","6","0","0","12"
"Common Sandpiper","1","0","0","0","0","3","1","0","2","7","0","3","0","0","0","0","1","0","12","0","0","0","0","0","2","0","0","1","0","0","0","5","0","0","6","20","0","0","5","0","0","0","3","1","0","6","0"
"Common Snipe","4","0","0","0","0","0","0","0","0","0","0","6","0","0","2","0","10","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","50","0","0","6","0","0","0","1","0","0","0","0"
"Dusky Warbler","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eurasian Coot","10","0","0","0","0","0","0","4","0","22","0","0","5","0","0","2","2","0","0","4","0","0","0","0","0","0","474","0","0","0","0","0","0","300","0","20","1","31","0","0","0","0","38","92","0","0","0"
