LOCALITY,LATITUDE,LONGITUDE,DISTRICT,ST_NM,COMMON.NAME,historical.status,season
Punchakkary,8.446077,76.985587,Thiruvananthapuram,KERALA,Sociable Lapwing,Y,Winter
Puthupally,9.1393848,76.4844561,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Valinokkam,9.184135,78.637037,Ramanathapuram,TAMIL NADU,Greater Flamingo,N,Winter
Mamprapaadam,9.2676595,76.607945,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Vettatheril Puncha,9.2760944,76.5102552,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.2769775,76.4957428,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Kuttanad Wetlands--Pallippad,9.2769775,76.4957428,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.2777399,76.4881897,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.2796113,76.5084051,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.2898105,76.5108597,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.2926667,76.5207833,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.2926667,76.5207833,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Kuttanad Wetlands--Pallippad,9.2945695,76.4981675,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Kuttanad Wetlands--Pallippad,9.2945695,76.4981675,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.2957395,76.5127548,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.3042835,76.5236807,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.3071944,76.4939404,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.3104417,76.5024583,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.3104417,76.5024583,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Kuttanad Wetlands--Pallippad,9.3125905,76.511774,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.3183126,76.4796066,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Kuttanad Wetlands--Pallippad,9.3183126,76.4796066,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
Kuttanad Wetlands--Pallippad,9.3424507,76.5750074,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Kuttanadu Wetlands--Poovathikkari,9.5043754,76.4472055,Alappuzha,KERALA,Black-tailed Godwit,Y,Winter
Kuttanadu Wetlands--Poovathikkari,9.6553732,76.5064394,Kottayam,KERALA,Black-tailed Godwit,N,Passage/Summer
Kuttanadu Wetlands--Poovathikkari,9.689852,76.4461327,Kottayam,KERALA,Black-tailed Godwit,N,Winter
Kuttanadu Wetlands--Poovathikkari,9.7017601,76.4661741,Kottayam,KERALA,Black-tailed Godwit,N,Passage/Summer
Kuttanadu Wetlands--Poovathikkari,9.7088456,76.4675474,Kottayam,KERALA,Black-tailed Godwit,N,Winter
Kuttanadu Wetlands--Poovathikkari,9.7187015,76.4498663,Kottayam,KERALA,Black-tailed Godwit,N,Winter
Changaram Wetlands,9.7572931,76.3002374,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Changaram Wetlands,9.7702182,76.2964869,Alappuzha,KERALA,Black-tailed Godwit,N,Passage/Summer
Changaram Wetlands,9.7702182,76.2964869,Alappuzha,KERALA,Black-tailed Godwit,N,Winter
