Sl no.,Family,Common name,Scientific name,Source,SoIB concern status,IUCN Red List,WLPA schedule,ldv,dv
1,"Anatidae (Ducks, Geese, and Waterfowl)",Fulvous Whistling-Duck,Dendrocygna bicolor,eBird,Low,Least Concern,Schedule-I,*,
2,"Anatidae (Ducks, Geese, and Waterfowl)",Lesser Whistling-Duck,Dendrocygna javanica,eBird,Low,Least Concern,Schedule-IV,*,
3,"Anatidae (Ducks, Geese, and Waterfowl)",Graylag Goose,Anser anser,eBird,Low,Least Concern,Schedule-IV,*,
4,"Anatidae (Ducks, Geese, and Waterfowl)",Ruddy Shelduck,Tadorna ferruginea,eBird,Low,Least Concern,Schedule-IV,*,
5,"Anatidae (Ducks, Geese, and Waterfowl)",Gadwall,Mareca strepera,eBird,Low,Least Concern,Schedule-IV,*,
6,"Anatidae (Ducks, Geese, and Waterfowl)",Eurasian Wigeon,Mareca penelope,eBird,Low,Least Concern,Schedule-IV,*,
7,"Anatidae (Ducks, Geese, and Waterfowl)",Indian Spot-billed Duck,Anas poecilorhyncha,eBird,Low,Least Concern,Schedule-IV,*,
8,"Anatidae (Ducks, Geese, and Waterfowl)",Northern Pintail,Anas acuta,eBird,Low,Least Concern,Schedule-IV,*,
9,"Anatidae (Ducks, Geese, and Waterfowl)",Tufted Duck,Aythya fuligula,eBird,Low,Least Concern,Schedule-IV,*,
10,"Anatidae (Ducks, Geese, and Waterfowl)",Common Merganser,Mergus merganser,eBird,Low,Least Concern,Schedule-IV,*,
11,"Phasianidae (Pheasants, Grouse, and Allies)",Hill Partridge,Arborophila torqueola,eBird,Low,Least Concern,Schedule-IV,,
12,"Phasianidae (Pheasants, Grouse, and Allies)",Chestnut-breasted Partridge,Arborophila mandellii,eBird,High,Vulnerable,Schedule-IV,*,
13,"Phasianidae (Pheasants, Grouse, and Allies)",Rufous-throated Partridge,Arborophila rufogularis,eBird,Moderate,Least Concern,Schedule-IV,*,
14,"Phasianidae (Pheasants, Grouse, and Allies)",White-cheeked Partridge,Arborophila atrogularis,eBird,Moderate,Near Threatened,Schedule-IV,*,
15,"Phasianidae (Pheasants, Grouse, and Allies)",Gray Peacock-Pheasant,Polyplectron bicalcaratum,eBird,NA,Least Concern,Schedule-I,*,
16,"Phasianidae (Pheasants, Grouse, and Allies)",Blue-breasted Quail,Synoicus chinensis,eBird,NA,Least Concern,Schedule-IV,*,
17,"Phasianidae (Pheasants, Grouse, and Allies)",Swamp Francolin,Francolinus gularis,eBird,High,Vulnerable,Schedule-IV,*,
18,"Phasianidae (Pheasants, Grouse, and Allies)",Red Junglefowl,Gallus gallus,eBird,Low,Least Concern,Schedule-IV,*,
19,"Phasianidae (Pheasants, Grouse, and Allies)",Blood Pheasant,Ithaginis cruentus,eBird,Moderate,Least Concern,Schedule-I,*,
20,"Phasianidae (Pheasants, Grouse, and Allies)",Himalayan Monal,Lophophorus impejanus,eBird,Low,Least Concern,Schedule-I,*,
21,"Phasianidae (Pheasants, Grouse, and Allies)",Sclater's Monal,Lophophorus sclateri,eBird,High,Vulnerable,Schedule-I,*,
22,"Phasianidae (Pheasants, Grouse, and Allies)",Blyth's Tragopan,Tragopan blythii,eBird,High,Vulnerable,Schedule-I,*,
23,"Phasianidae (Pheasants, Grouse, and Allies)",Temminck's Tragopan,Tragopan temminckii,eBird,NA,Least Concern,Schedule-I,*,
24,"Phasianidae (Pheasants, Grouse, and Allies)",Kalij Pheasant,Lophura leucomelanos,eBird,Low,Least Concern,Schedule-I,,
25,Columbidae (Pigeons and Doves),Rock Pigeon,Columba livia,eBird,Low,Least Concern,Schedule-IV,*,
26,Columbidae (Pigeons and Doves),Speckled Wood-Pigeon,Columba hodgsonii,eBird,Low,Least Concern,Schedule-IV,*,
27,Columbidae (Pigeons and Doves),Ashy Wood-Pigeon,Columba pulchricollis,eBird,Moderate,Least Concern,Schedule-IV,*,
28,Columbidae (Pigeons and Doves),Pale-capped Pigeon,Columba punicea,eBird,High,Vulnerable,Schedule-IV,*,
29,Columbidae (Pigeons and Doves),Oriental Turtle-Dove,Streptopelia orientalis,eBird,Low,Least Concern,Schedule-IV,*,
30,Columbidae (Pigeons and Doves),Spotted Dove,Streptopelia chinensis,eBird,Low,Least Concern,Schedule-IV,*,
31,Columbidae (Pigeons and Doves),Barred Cuckoo-Dove,Macropygia unchall,eBird,Low,Least Concern,Schedule-IV,*,
32,Columbidae (Pigeons and Doves),Asian Emerald Dove,Chalcophaps indica,eBird,Low,Least Concern,Schedule-IV,,
33,Columbidae (Pigeons and Doves),Ashy-headed Green-Pigeon,Treron phayrei,eBird,NA,Near Threatened,Schedule-IV,*,
34,Columbidae (Pigeons and Doves),Thick-billed Green-Pigeon,Treron curvirostra,eBird,NA,Least Concern,Schedule-IV,*,
35,Columbidae (Pigeons and Doves),Pin-tailed Green-Pigeon,Treron apicauda,eBird,Low,Least Concern,Schedule-IV,*,
36,Columbidae (Pigeons and Doves),Wedge-tailed Green-Pigeon,Treron sphenurus,eBird,Low,Least Concern,Schedule-IV,*,
37,Columbidae (Pigeons and Doves),Green Imperial-Pigeon,Ducula aenea,eBird,Low,Least Concern,Schedule-IV,*,
38,Columbidae (Pigeons and Doves),Mountain Imperial-Pigeon,Ducula badia,eBird,Moderate,Least Concern,Schedule-IV,*,
39,Otididae (Bustards),Bengal Florican,Houbaropsis bengalensis,eBird,High,Critically Endangered,Schedule-I,*,
40,Cuculidae (Cuckoos),Greater Coucal,Centropus sinensis,eBird,Low,Least Concern,Schedule-IV,*,
41,Cuculidae (Cuckoos),Lesser Coucal,Centropus bengalensis,eBird,Low,Least Concern,Schedule-IV,*,
42,Cuculidae (Cuckoos),Green-billed Malkoha,Phaenicophaeus tristis,eBird,Low,Least Concern,Schedule-IV,*,
43,Cuculidae (Cuckoos),Chestnut-winged Cuckoo,Clamator coromandus,eBird,NA,Least Concern,Schedule-IV,*,
44,Cuculidae (Cuckoos),Asian Koel,Eudynamys scolopaceus,eBird,Low,Least Concern,Schedule-IV,*,
45,Cuculidae (Cuckoos),Asian Emerald Cuckoo,Chrysococcyx maculatus,eBird,NA,Least Concern,Schedule-IV,*,
46,Cuculidae (Cuckoos),Banded Bay Cuckoo,Cacomantis sonneratii,eBird,Moderate,Least Concern,Schedule-IV,*,
47,Cuculidae (Cuckoos),Plaintive Cuckoo,Cacomantis merulinus,eBird,Moderate,Least Concern,Schedule-IV,*,
48,Cuculidae (Cuckoos),Square-tailed Drongo-Cuckoo,Surniculus lugubris,eBird,Low,Least Concern,Schedule-IV,*,
49,Cuculidae (Cuckoos),Large Hawk-Cuckoo,Hierococcyx sparverioides,eBird,Low,Least Concern,Schedule-IV,*,
50,Cuculidae (Cuckoos),Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,eBird,NA,Least Concern,Schedule-IV,*,
51,Cuculidae (Cuckoos),Lesser Cuckoo,Cuculus poliocephalus,eBird,Moderate,Least Concern,Schedule-IV,*,
52,Cuculidae (Cuckoos),Indian Cuckoo,Cuculus micropterus,eBird,Moderate,Least Concern,Schedule-IV,*,
53,Cuculidae (Cuckoos),Himalayan Cuckoo,Cuculus saturatus,eBird,Moderate,Least Concern,Schedule-IV,*,
54,Cuculidae (Cuckoos),Common Cuckoo,Cuculus canorus,eBird,Moderate,Least Concern,Schedule-IV,*,
55,Podargidae (Frogmouths),Hodgson's Frogmouth,Batrachostomus hodgsoni,eBird,NA,Least Concern,Schedule-I,*,
56,Caprimulgidae (Nightjars and Allies),Great Eared-Nightjar,Lyncornis macrotis,eBird,NA,Least Concern,Schedule-IV,,!
57,Caprimulgidae (Nightjars and Allies),Gray Nightjar,Caprimulgus jotaka,eBird,NA,Least Concern,Schedule-IV,*,
58,Caprimulgidae (Nightjars and Allies),Large-tailed Nightjar,Caprimulgus macrurus,eBird,NA,Least Concern,Schedule-IV,*,
59,Apodidae (Swifts),White-throated Needletail,Hirundapus caudacutus,eBird,NA,Least Concern,Schedule-IV,*,
60,Apodidae (Swifts),Himalayan Swiftlet,Aerodramus brevirostris,eBird,Moderate,Least Concern,Schedule-IV,*,
61,Apodidae (Swifts),Blyth's Swift,Apus leuconyx,eBird,Moderate,Least Concern,Schedule-IV,*,
62,Apodidae (Swifts),House Swift,Apus nipalensis,eBird,NA,Least Concern,Schedule-IV,*,
63,Apodidae (Swifts),Asian Palm-Swift,Cypsiurus balasiensis,eBird,Low,Least Concern,Schedule-IV,*,
64,"Rallidae (Rails, Gallinules, and Coots)",Eurasian Moorhen,Gallinula chloropus,eBird,Low,Least Concern,Schedule-IV,*,
65,"Rallidae (Rails, Gallinules, and Coots)",Eurasian Coot,Fulica atra,eBird,Moderate,Least Concern,Schedule-IV,*,
66,"Rallidae (Rails, Gallinules, and Coots)",Gray-headed Swamphen,Porphyrio poliocephalus,eBird,Moderate,Least Concern,Schedule-IV,*,
67,"Rallidae (Rails, Gallinules, and Coots)",Watercock,Gallicrex cinerea,eBird,Moderate,Least Concern,Schedule-IV,*,
68,"Rallidae (Rails, Gallinules, and Coots)",White-breasted Waterhen,Amaurornis phoenicurus,eBird,Low,Least Concern,Schedule-IV,*,
69,Ibidorhynchidae (Ibisbill),Ibisbill,Ibidorhyncha struthersii,eBird,NA,Least Concern,Schedule-IV,,!
70,Charadriidae (Plovers and Lapwings),Northern Lapwing,Vanellus vanellus,eBird,Moderate,Near Threatened,Schedule-IV,*,
71,Charadriidae (Plovers and Lapwings),River Lapwing,Vanellus duvaucelii,eBird,Moderate,Near Threatened,Schedule-IV,*,
72,Charadriidae (Plovers and Lapwings),Red-wattled Lapwing,Vanellus indicus,eBird,Low,Least Concern,Schedule-IV,*,
73,Charadriidae (Plovers and Lapwings),Kentish Plover,Charadrius alexandrinus,eBird,Moderate,Least Concern,Schedule-IV,*,
74,Charadriidae (Plovers and Lapwings),Little Ringed Plover,Charadrius dubius,eBird,Moderate,Least Concern,Schedule-IV,*,
75,Rostratulidae (Painted-Snipes),Greater Painted-Snipe,Rostratula benghalensis,eBird,Moderate,Least Concern,Schedule-IV,*,
76,Jacanidae (Jacanas),Pheasant-tailed Jacana,Hydrophasianus chirurgus,eBird,Moderate,Least Concern,Schedule-IV,*,
77,Scolopacidae (Sandpipers and Allies),Temminck's Stint,Calidris temminckii,eBird,Moderate,Least Concern,Schedule-IV,*,
78,Scolopacidae (Sandpipers and Allies),Little Stint,Calidris minuta,eBird,Moderate,Least Concern,Schedule-IV,*,
79,Scolopacidae (Sandpipers and Allies),Eurasian Woodcock,Scolopax rusticola,eBird,NA,Least Concern,Schedule-IV,*,
80,Scolopacidae (Sandpipers and Allies),Solitary Snipe,Gallinago solitaria,eBird,NA,Least Concern,Schedule-IV,*,
81,Scolopacidae (Sandpipers and Allies),Wood Snipe,Gallinago nemoricola,eBird,NA,Vulnerable,Schedule-IV,*,
82,Scolopacidae (Sandpipers and Allies),Pin-tailed Snipe,Gallinago stenura,eBird,Moderate,Least Concern,Schedule-IV,*,
83,Scolopacidae (Sandpipers and Allies),Common Sandpiper,Actitis hypoleucos,eBird,Moderate,Least Concern,Schedule-IV,*,
84,Scolopacidae (Sandpipers and Allies),Green Sandpiper,Tringa ochropus,eBird,Moderate,Least Concern,Schedule-IV,*,
85,Scolopacidae (Sandpipers and Allies),Common Greenshank,Tringa nebularia,eBird,High,Least Concern,Schedule-IV,*,
86,Scolopacidae (Sandpipers and Allies),Wood Sandpiper,Tringa glareola,eBird,Low,Least Concern,Schedule-IV,*,
87,Scolopacidae (Sandpipers and Allies),Common Redshank,Tringa totanus,eBird,Moderate,Least Concern,Schedule-IV,*,
88,Glareolidae (Pratincoles and Coursers),Small Pratincole,Glareola lactea,eBird,Moderate,Least Concern,Schedule-IV,*,
89,"Laridae (Gulls, Terns, and Skimmers)",Pallas's Gull,Ichthyaetus ichthyaetus,eBird,Low,Least Concern,Schedule-IV,*,
90,Ciconiidae (Storks),Asian Openbill,Anastomus oscitans,eBird,Low,Least Concern,Schedule-IV,*,
91,Ciconiidae (Storks),Black Stork,Ciconia nigra,eBird,Moderate,Least Concern,Schedule-IV,*,
92,Ciconiidae (Storks),Woolly-necked Stork,Ciconia episcopus,eBird,Low,Vulnerable,Schedule-IV,*,
93,Ciconiidae (Storks),Lesser Adjutant,Leptoptilos javanicus,eBird,Moderate,Vulnerable,Schedule-IV,*,
94,Phalacrocoracidae (Cormorants and Shags),Little Cormorant,Microcarbo niger,eBird,Low,Least Concern,Schedule-IV,*,
95,Phalacrocoracidae (Cormorants and Shags),Great Cormorant,Phalacrocorax carbo,eBird,Low,Least Concern,Schedule-IV,,
96,"Ardeidae (Herons, Egrets, and Bitterns)",Cinnamon Bittern,Ixobrychus cinnamomeus,eBird,High,Least Concern,Schedule-IV,*,
97,"Ardeidae (Herons, Egrets, and Bitterns)",Gray Heron,Ardea cinerea,eBird,Low,Least Concern,Schedule-IV,*,
98,"Ardeidae (Herons, Egrets, and Bitterns)",Purple Heron,Ardea purpurea,eBird,Low,Least Concern,Schedule-IV,*,
99,"Ardeidae (Herons, Egrets, and Bitterns)",Great Egret,Ardea alba,eBird,Low,Least Concern,Schedule-IV,*,
100,"Ardeidae (Herons, Egrets, and Bitterns)",Intermediate Egret,Ardea intermedia,eBird,Low,Least Concern,Schedule-IV,*,
101,"Ardeidae (Herons, Egrets, and Bitterns)",Little Egret,Egretta garzetta,eBird,Low,Least Concern,Schedule-IV,*,
102,"Ardeidae (Herons, Egrets, and Bitterns)",Cattle Egret,Bubulcus ibis,eBird,Low,Least Concern,Schedule-IV,*,
103,"Ardeidae (Herons, Egrets, and Bitterns)",Indian Pond-Heron,Ardeola grayii,eBird,Low,Least Concern,Schedule-IV,*,
104,"Ardeidae (Herons, Egrets, and Bitterns)",Chinese Pond-Heron,Ardeola bacchus,eBird,NA,Least Concern,Schedule-IV,*,
105,"Ardeidae (Herons, Egrets, and Bitterns)",Striated Heron,Butorides striata,eBird,Low,Least Concern,Schedule-IV,*,
106,"Ardeidae (Herons, Egrets, and Bitterns)",Black-crowned Night-Heron,Nycticorax nycticorax,eBird,Low,Least Concern,Schedule-IV,*,
107,Pandionidae (Osprey),Osprey,Pandion haliaetus,eBird,Low,Least Concern,Schedule-I,*,
108,"Accipitridae (Hawks, Eagles, and Kites)",Black-winged Kite,Elanus caeruleus,eBird,Low,Least Concern,Schedule-I,*,
109,"Accipitridae (Hawks, Eagles, and Kites)",Oriental Honey-buzzard,Pernis ptilorhynchus,eBird,Low,Least Concern,Schedule-I,,
110,"Accipitridae (Hawks, Eagles, and Kites)",Jerdon's Baza,Aviceda jerdoni,eBird,Moderate,Least Concern,Schedule-I,*,
111,"Accipitridae (Hawks, Eagles, and Kites)",Red-headed Vulture,Sarcogyps calvus,eBird,High,Critically Endangered,Schedule-IV,*,
112,"Accipitridae (Hawks, Eagles, and Kites)",White-rumped Vulture,Gyps bengalensis,eBird,High,Critically Endangered,Schedule-I,*,
113,"Accipitridae (Hawks, Eagles, and Kites)",Slender-billed Vulture,Gyps tenuirostris,eBird,High,Critically Endangered,Schedule-I,*,
114,"Accipitridae (Hawks, Eagles, and Kites)",Himalayan Griffon,Gyps himalayensis,eBird,Moderate,Near Threatened,Schedule-IV,*,
115,"Accipitridae (Hawks, Eagles, and Kites)",Eurasian Griffon,Gyps fulvus,eBird,Moderate,Least Concern,Schedule-IV,*,
116,"Accipitridae (Hawks, Eagles, and Kites)",Crested Serpent-Eagle,Spilornis cheela,eBird,Low,Least Concern,Schedule-I,,
117,"Accipitridae (Hawks, Eagles, and Kites)",Short-toed Snake-Eagle,Circaetus gallicus,eBird,High,Least Concern,Schedule-I,*,
118,"Accipitridae (Hawks, Eagles, and Kites)",Changeable Hawk-Eagle,Nisaetus cirrhatus,eBird,Low,Least Concern,Schedule-I,*,
119,"Accipitridae (Hawks, Eagles, and Kites)",Mountain Hawk-Eagle,Nisaetus nipalensis,eBird,Low,Least Concern,Schedule-I,*,
120,"Accipitridae (Hawks, Eagles, and Kites)",Rufous-bellied Eagle,Lophotriorchis kienerii,eBird,Moderate,Near Threatened,Schedule-I,*,
121,"Accipitridae (Hawks, Eagles, and Kites)",Black Eagle,Ictinaetus malaiensis,eBird,Low,Least Concern,Schedule-I,*,
122,"Accipitridae (Hawks, Eagles, and Kites)",Greater Spotted Eagle,Clanga clanga,eBird,Moderate,Vulnerable,Schedule-I,*,
