Common.Name,ngrids,mean.abund,abund,Species
Alpine Swift,79,1.35443038,107,NA
Ashambu Laughingthrush,1,8,8,Ashambu Laughingthrush
Ashy Drongo,288,2.225694444,641,NA
Ashy Prinia,201,2.865671642,576,Ashy Prinia
Ashy Woodswallow,376,3.449468085,1297,NA
Asian Brown Flycatcher,209,1.540669856,322,Asian Brown Flycatcher
Asian Emerald Dove,199,2.256281407,449,NA
Asian Fairy-bluebird,134,2.962686567,397,NA
Asian Koel,529,7.722117202,4085,Asian Koel
Asian Openbill,228,2.263157895,516,NA
Asian Palm-Swift,413,4.08716707,1688,NA
Banded Bay Cuckoo,34,1.176470588,40,NA
Bar-winged Flycatcher-shrike,60,1.766666667,106,Bar-winged Flycatcher-shrike
Barn Swallow,317,3.059936909,970,NA
Bay-backed Shrike,5,2.4,12,NA
Baya Weaver,131,2.167938931,284,NA
Black-and-orange Flycatcher,10,2.9,29,Black-and-orange Flycatcher
Black-crowned Night-Heron,75,1.56,117,NA
Black-headed Cuckooshrike,106,1.41509434,150,NA
Black-headed Gull,7,1.571428571,11,NA
Black-headed Ibis,264,3.113636364,822,NA
Black-hooded Oriole,537,7.947858473,4268,NA
Black-naped Monarch,186,2.344086022,436,NA
Black-naped Oriole,94,1.276595745,120,NA
Black-rumped Flameback,583,7.394511149,4311,NA
Black-throated Munia,82,1.304878049,107,NA
Black-winged Kite,43,1.627906977,70,NA
Black-winged Stilt,37,1.513513514,56,NA
Black Baza,5,1.2,6,NA
Black Bittern,40,1.475,59,NA
Black Drongo,531,9.320150659,4949,NA
Black Eagle,98,1.653061224,162,NA
Black Kite,251,5.77689243,1450,Black Kite
Blue-bearded Bee-eater,32,1.21875,39,NA
Blue-capped Rock-Thrush,45,1.288888889,58,NA
Blue-faced Malkoha,53,1.490566038,79,NA
Blue-tailed Bee-eater,309,3.355987055,1037,NA
Blue-throated Flycatcher,25,1.08,27,NA
Blyth's Reed Warbler,493,4.156186613,2049,Blyth's Reed Warbler
Booted Eagle,73,1.301369863,95,NA
Booted Warbler,8,1.875,15,NA
Brahminy Kite,444,8.211711712,3646,NA
Brahminy Starling,44,1.5,66,NA
Bronze-winged Jacana,133,3.398496241,452,NA
Bronzed Drongo,403,4.853598015,1956,NA
Brown-backed Needletail,50,1.32,66,NA
Brown-breasted Flycatcher,80,1.3875,111,Brown-breasted Flycatcher
Brown-capped Woodpecker,162,1.617283951,262,NA
Brown-cheeked Fulvetta,66,2.893939394,191,NA
Brown-headed Barbet,5,1.6,8,NA
Brown-headed Gull,6,1.5,9,NA
Brown Shrike,234,1.581196581,370,Brown Shrike
Cattle Egret,543,7.093922652,3852,NA
