Submission.ID,Hour,Season,Sp.count
S24283992,16,Wet,14
S24284177,16,Wet,12
S24284242,17,Wet,29
S24284286,17,Wet,19
S24284444,16,Wet,16
S24284446,16,Wet,26
S24284449,16,Wet,24
S24284494,17,Wet,18
S24291004,7,Wet,18
S24291066,7,Wet,24
S24294112,6,Wet,33
S24294135,7,Wet,26
S24294201,7,Wet,28
S24294228,7,Wet,21
S24294280,15,Wet,24
S24294313,16,Wet,17
S24294325,16,Wet,19
S24294350,16,Wet,24
S24303401,9,Wet,11
S24303794,9,Wet,11
S24304058,10,Wet,8
S24304342,10,Wet,7
S24309160,6,Wet,21
S24309230,15,Wet,16
S24309269,15,Wet,18
S24309284,15,Wet,16
S24309309,16,Wet,18
S24309349,16,Wet,20
S24309378,16,Wet,15
S24309417,16,Wet,17
S24309426,17,Wet,15
S24309659,7,Wet,15
S24309959,8,Wet,12
S24310505,8,Wet,11
S24311052,9,Wet,12
S24311063,9,Wet,15
S24311096,10,Wet,7
S24311101,10,Wet,4
S24312764,8,Wet,14
S24312879,7,Wet,9
S24312894,9,Wet,8
S24312896,8,Wet,6
S24312899,9,Wet,11
S24312986,15,Wet,15
S24313039,15,Wet,19
S24313094,7,Wet,14
S24313100,16,Wet,11
S24313137,16,Wet,19
S24313142,8,Wet,10
S24313196,8,Wet,12
S24313203,16,Wet,15
S24313346,17,Wet,15
S24313347,17,Wet,7
S24313358,17,Wet,12
S24313482,9,Wet,8
S24313508,16,Wet,15
S24313509,16,Wet,20
S24313510,16,Wet,22
S24313512,17,Wet,16
S24313606,9,Wet,8
S24313979,9,Wet,11
S24314244,9,Wet,12
S24314480,11,Wet,8
S24314916,11,Wet,14
S24321627,6,Wet,18
S24321630,7,Wet,34
S24333074,12,Wet,8
S24333102,12,Wet,5
S24333145,13,Wet,4
S24333167,11,Wet,14
S24333182,11,Wet,9
S24333480,10,Wet,23
S24333481,8,Wet,21
S24333482,8,Wet,17
S24333483,8,Wet,20
S24333484,7,Wet,12
S24333485,7,Wet,15
S24333486,7,Wet,17
S24334990,8,Wet,26
S24335791,16,Wet,21
S24335876,8,Wet,16
S24344958,7,Wet,20
S24345013,7,Wet,16
S24345068,7,Wet,16
S24345093,8,Wet,20
S24345124,8,Wet,19
S24345138,8,Wet,19
S24345151,9,Wet,18
S24345167,9,Wet,15
S24345212,16,Wet,22
S24345229,16,Wet,19
S24345255,16,Wet,19
S24345270,17,Wet,19
S24345434,16,Wet,32
S24345451,16,Wet,18
S24345486,16,Wet,19
S24345585,17,Wet,24
