"NAME","Concern.Status","n"
"Kaziranga","High",32
"Manas","High",31
"Keoladeo Ghana","High",28
"Corbett","High",25
"Mehao","High",25
"Sultanpur","High",24
"Gir","High",23
"Ranthambhore","High",23
"Nameri","High",21
"Dibru-Saikhowa","High",20
"Dudhwa","High",20
"Harike Lake","High",20
"Nal Sarovar","High",20
"Okhla","High",20
"Rajiv Gandhi (Nagarhole)","High",20
"Rajiv Gandhi (Nagarjunasagar-Srisailam)","High",20
"Jhilmi Jheel","High",19
"Kanha","High",19
"Marine (Gulf of Kachchh)","High",19
"Mudumalai","High",19
"Rajaji","High",19
"Wild Ass","High",19
"Bori","High",18
"Melghat","High",18
"Satpura","High",18
"Sawaimadhopur","High",18
"Bandipur","High",17
"Gandhi Sagar","High",17
"Hastinapur","High",17
"Indira Priyadarshini Pench","High",17
"Mount Abu","High",17
"Periyar","High",17
"Sanjay Gandhi (Borivili)","High",17
"Kachchh Desert","High",16
"Orang (Rajiv Gandhi)","High",16
"Pench","High",16
"Tansa","High",16
"Barnawapara","High",15
"Desert","High",15
"Namdapha","High",15
"Pachmarhi","High",15
"Pong Dam Lake","High",15
"Sawai Man Singh","High",15
"Shoolpaneswar (Dhumkhal)","High",15
"Wayanad","High",15
"Andhari","High",14
"Blackbuck","High",14
"Cauvery","High",14
"Great Indian Bustard","High",14
"Indira Gandhi (Annamalai)","High",14
"Khijadia","High",14
"Kuno-Palpur","High",14
"Madhav","High",14
"Manjira Crocodile","High",14
"Rollapadu","High",14
"Asola Bhati (Indira Priyadarshini)","High",13
"Bandhavgarh","High",13
"Bannerghatta","High",13
"Bhindawas","High",13
"Girnar","High",13
"Karnala","High",13
"Katarniaghat","High",13
"Kuldiha","High",13
"National Chambal","High",13
"Pakhal","High",13
"Panna","High",13
"Panpatha","High",13
"Sajnakhali","High",13
"Sariska","High",13
"Sri Venkateswara","High",13
"Veerangna Durgavati","High",13
"Achanakmar","High",12
"Bansda","High",12
"Biligiri Rangaswami Temple","High",12
"Buxa","High",12
"Dihing Patkai","High",12
"Kishanpur","High",12
"Lohabarrack","High",12
"Mahatma Gandhi Marine","High",12
"Nagzira","High",12
"Nahargarh","High",12
"Pabitora","High",12
"Pakke (Pakhui)","High",12
"Peppara","High",12
"Phulwari Ki Nal","High",12
"Pulicat Lake","High",12
"Ranganathittu Bird","High",12
"Sanjay Dubri","High",12
"Thattekadu Bird","High",12
"Udanti Wild Buffalo","High",12
"Bhadra","High",11
"Bondla","High",11
"Chintamani Kar Bird Sanctuary","High",11
"Eagle Nest","High",11
"Hornbill","High",11
"Kawal","High",11
"Kudremukh","High",11
"Madei","High",11
"Mayureswar Supe","High",11
"Mrugavani","High",11
"Nawabganj","High",11
"Nellapattu","High",11
"Noradehi","High",11
"Ratanmahal","High",11
"Simlipal","High",11
"Sonanadi","High",11
"Thol Lake","High",11
"Bhimashankar","High",10
"Bhoramdev","High",10
"Chandaka Dampara","High",10
"Chinnar","High",10
"D' Ering Memorial (Lali)","High",10
"Dr. Salim Ali (Chorao)","High",10
"Gahirmatha (Marine)","High",10
"Gudavi Bird","High",10
"Hingolgarh","High",10
"Kalesar","High",10
"Kanyakumari","High",10
"Mahananda","High",10
"Mollem","High",10
"Peechi-Vazhani","High",10
"Phen","High",10
"Pocharam","High",10
"Ratapani","High",10
"Sarangarh-Gomardha","High",10
"Satkosia Gorge","High",10
"Shendurney","High",10
"Shettihalli","High",10
"Sohelwa","High",10
"Van Vihar","High",10
"Wan","High",10
"Yawal","High",10
"Anshi","High",9
"Aralam","High",9
"Bhitarkanika","High",9
"Bor","High",9
"Cotigaon","High",9
"Darrah","High",9
"Guindy","High",9
"Gulf of Mannar Marine","High",9
"Jessore","High",9
"Kambalkonda","High",9
"Kanger Valley","High",9
"Keshopur Chhamb","High",9
"Mukurthi","High",9
"Netravali","High",9
"Purna","High",9
"Ralamandal","High",9
"Ranebennur Black Buck","High",9
"Sri Lankamalleswaram","High",9
"Dalma","High",8
"Eturnagaram","High",8
"Guru Ghasi Das (Sanjay)","High",8
"Hazaribagh","High",8
"Jaisamand","High",8
"Jawai Bandh Leopard","High",8
"Kedarnath","High",8
"Mundanthurai","High",8
"Narsingarh","High",8
