"COMMON.NAME","Long.Term.Status","Current.Status","Range.Status","Concern.Status","IUCN","WLPA.Schedule"
"Cattle Egret","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Purple Heron","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Black Kite","Stable","Uncertain","Large","Low","Least Concern","Schedule-I"
"Green Bee-eater","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Indian Pond-Heron","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Cotton Pygmy-Goose","Strong Decline","Strong Decline","Very Large","High","Least Concern","Schedule-IV"
"Large-billed Crow","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"House Crow","Moderate Increase","Stable","Very Large","Low","Least Concern","Schedule-V"
"Pale-billed Flowerpecker","Stable","Strong Increase","Large","Low","Least Concern","Schedule-IV"
"Intermediate Egret","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"White-throated Kingfisher","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Greater Coucal","Stable","Strong Increase","Very Large","Low","Least Concern","Schedule-IV"
"Whiskered Tern","Moderate Decline","Strong Decline","Moderate","Moderate","Least Concern","Schedule-IV"
"Little Cormorant","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Brahminy Kite","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-I"
"Black Drongo","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Common Sandpiper","Moderate Decline","Strong Decline","Large","Moderate","Least Concern","Schedule-IV"
"Lesser Whistling-Duck","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Rufous Treepie","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Common Myna","Stable","Stable","Very Large","Low","Least Concern","Schedule-IV"
"Gray-headed Swamphen","Uncertain","Strong Decline","Very Large","Moderate","Least Concern","Schedule-IV"
"Oriental Darter","Uncertain","Moderate Decline","Very Large","Low","Near Threatened","Schedule-IV"
"Little Egret","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Bronze-winged Jacana","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Common Tailorbird","Stable","Moderate Increase","Very Large","Low","Least Concern","Schedule-IV"
"Black-headed Ibis","Moderate Increase","Uncertain","Very Large","Low","Near Threatened","Schedule-IV"
"Asian Koel","Moderate Increase","Strong Increase","Very Large","Low","Least Concern","Schedule-IV"
"White-breasted Waterhen","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Pied Kingfisher","Moderate Decline","Strong Decline","Very Large","Moderate","Least Concern","Schedule-IV"
"Pied Cuckoo","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Indian Cormorant","Moderate Increase","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Rose-ringed Parakeet","Stable","Stable","Very Large","Low","Least Concern","Schedule-IV"
"Black-rumped Flameback","Stable","Moderate Increase","Very Large","Low","Least Concern","Schedule-IV"
"Purple-rumped Sunbird","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Common Kingfisher","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Shikra","Stable","Stable","Very Large","Low","Least Concern","Schedule-I"
"Wood Sandpiper","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Western Yellow Wagtail","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Common Greenshank","Strong Decline","Moderate Decline","Large","High","Least Concern","Schedule-IV"
"Blyth's Reed Warbler","Uncertain","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Pheasant-tailed Jacana","Moderate Decline","Uncertain","Very Large","Moderate","Least Concern","Schedule-IV"
"Common Snipe","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Rosy Starling","Strong Increase","Strong Increase","Very Large","Low","Least Concern","Schedule-IV"
"Blue-tailed Bee-eater","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Asian Openbill","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Eurasian Coot","Stable","Strong Decline","Large","Moderate","Least Concern","Schedule-IV"
"Barn Swallow","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Glossy Ibis","Strong Increase","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Zitting Cisticola","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Indian Roller","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Indian Golden Oriole","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Yellow Bittern","Uncertain","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Black-winged Stilt","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Baya Weaver","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Brown Shrike","Stable","Moderate Decline","Large","Low","Least Concern","Schedule-IV"
"Gray Heron","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Little Grebe","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Red-wattled Lapwing","Stable","Moderate Decline","Very Large","Low","Least Concern","Schedule-IV"
"Black-hooded Oriole","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"White-cheeked Barbet","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Jungle Myna","Uncertain","Moderate Decline","Large","Moderate","Least Concern","Schedule-IV"
"Eurasian Marsh-Harrier","Stable","Uncertain","Large","Low","Least Concern","Schedule-I"
"Eurasian Moorhen","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Greenish Warbler","Moderate Decline","Uncertain","Large","Moderate","Least Concern","Schedule-IV"
"Citrine Wagtail","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Garganey","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Great Egret","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-IV"
"Green Sandpiper","Moderate Decline","Uncertain","Very Large","Moderate","Least Concern","Schedule-IV"
"Asian Palm-Swift","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Purple Sunbird","Stable","Stable","Very Large","Low","Least Concern","Schedule-IV"
"Cinnamon Bittern","Strong Decline","Strong Decline","Moderate","High","Least Concern","Schedule-IV"
