"COMMON.NAME","scientific.name","Concern.Status"
"Orange-headed Thrush","Geokichla citrina","Moderate"
"Mountain Imperial-Pigeon","Ducula badia","Moderate"
"Brahminy Kite","Haliastur indus","Low"
"Brown-cheeked Fulvetta","Alcippe poioicephala","Moderate"
"Large-billed Crow","Corvus macrorhynchos","Low"
"Malabar Whistling-Thrush","Myophonus horsfieldii","Low"
"Red-whiskered Bulbul","Pycnonotus jocosus","Low"
"Malabar Barbet (Crimson-throated Barbet)","Psilopogon malabaricus","Moderate"
"Grey-fronted Green-Pigeon (Pompadour Green-Pigeon)","Treron affinis","Low"
"Oriental Magpie-Robin","Copsychus saularis","Low"
"Puff-throated Babbler","Pellorneum ruficeps","Moderate"
"Small Minivet","Pericrocotus cinnamomeus","High"
"Jungle Myna","Acridotheres fuscus","Moderate"
"Grey Junglefowl","Gallus sonneratii","Low"
"Grey Wagtail","Motacilla cinerea","Low"
"Streak-throated Woodpecker","Picus xanthopygaeus","Low"
"Eurasian Hoopoe","Upupa epops","Moderate"
"Spotted Dove","Streptopelia chinensis","Low"
"Rufous Babbler","Turdoides subrufa","Moderate"
"White-cheeked Barbet (Small Green Barbet)","Psilopogon viridis","Low"
"Dusky Crag-Martin","Ptyonoprogne concolor","Low"
"Indian Peafowl","Pavo cristatus","Low"
"Long-tailed Shrike","Lanius schach","Moderate"
"Chestnut-headed Bee-eater","Merops leschenaulti","Low"
"Grey Francolin","Francolinus pondicerianus","Low"
"Indian Swiftlet","Aerodramus unicolor","Low"
"Great Hornbill (Great Pied Hornbill)","Buceros bicornis","Moderate"
"Crested Serpent-Eagle","Spilornis cheela","Low"
"Oriental Scops-Owl","Otus sunia",NA
"Nilgiri Flowerpecker","Dicaeum concolor","Moderate"
"Asian Fairy-bluebird","Irena puella","Moderate"
"Asian Emerald Dove","Chalcophaps indica","Low"
"Common Tailorbird","Orthotomus sutorius","Low"
"Flame-throated Bulbul (Ruby-throated Bulbul)","Rubigula gularis","Moderate"
"Southern Hill Myna","Gracula indica","Low"
"Greater Coucal","Centropus sinensis","Low"
"Indian White-eye (Oriental White-eye)","Zosterops palpebrosus","Low"
"Orange Minivet","Pericrocotus flammeus","Low"
"Golden-fronted Leafbird (Golden-fronted Chloropsis)","Chloropsis aurifrons","Low"
"Greater Racket-tailed Drongo","Dicrurus paradiseus","Moderate"
"Vernal Hanging-Parrot (Indian Lorikeet)","Loriculus vernalis","Low"
"Malabar Grey Hornbill","Ocyceros griseus","Moderate"
"Little Spiderhunter","Arachnothera longirostra","Moderate"
"Bronzed Drongo","Dicrurus aeneus","Low"
"Crimson-backed Sunbird (Small Sunbird)","Leptocoma minima","Moderate"
"White-throated Kingfisher","Halcyon smyrnensis","Low"
"Malabar Parakeet (Blue-winged Parakeet)","Psittacula columboides","Moderate"
"Yellow-browed Bulbul","Iole indica","Moderate"
"Common Sandpiper","Actitis hypoleucos","Moderate"
"Common Myna","Acridotheres tristis","Low"
"Indian Spot-billed Duck","Anas poecilorhyncha","Low"
"House Crow","Corvus splendens","Low"
"Pied Kingfisher","Ceryle rudis","Moderate"
