"DISTRICT","LOCALITY","LATITUDE","LONGITUDE"
"Ariyalur","(11.345, 79.22)Pennadam Road",11.3445346,79.2204469
"Ariyalur","Karaivetti Bird Sanctuary",10.9704743,79.0416527
"Ariyalur","Karaivetti Bird Sanctuary Road, Karaiyavetti, Tamil Nadu, IN (10.981, 79.057)",10.9805339,79.0572497
"Chennai","Adayaru Estuary",13.0121679,80.2760267
"Chennai","CHANDRASEKAR NAGAR,TONDIARPET",13.1253726,80.2716708
"Chennai","Elliots Beach",12.9997379,80.2724218
"Chennai","I.O.C",13.12147,80.27077
"Chennai","Indian Institute of Technology (IIT) Madras",12.9934334,80.2380896
"Chennai","korukkupet railway station TO KALYANAPURAM MAIN RD.",13.1196885,80.2783334
"Chennai","Theosophical Society",13.0087601,80.2704477
"Chennai","Tholkappiar Ecological Park",13.0209067,80.2655876
"Coimbatore","(11.033, 77.086)",11.0328928,77.0863694
"Coimbatore","(11.051, 77.101)Muthugoundanpudur Tank",11.05055,77.100588
"Coimbatore","10.659x76.977 - 22 Dec 2015 10:57 pm",10.6590518,76.9766847
"Coimbatore","Achankulam",11.04264,77.097285
"Coimbatore","Achankulam",11.0455996,77.0964674
"Coimbatore","Achankulam",11.0599641,77.0613619
"Coimbatore","Achankulam Coimbatore",11.0484375,77.0993505
"Coimbatore","Aliyar dam",10.4810601,76.9698286
"Coimbatore","Belladi Lake",11.2530844,76.9720336
"Coimbatore","Ccba Cell No 57 List 2 Krishnampathi Lake",11.0038003,76.9229786
"Coimbatore","CCBA Cellno 57 List 1 Krishnampathy Lake",11.0063804,76.9219086
"Coimbatore","Coimbatore bird atlas Cell no 76951099 3rd list",10.9931819,76.9486895
"Coimbatore","Coimbatore bird atlas Cell no 76951099 4th list",10.9933044,76.947536
"Coimbatore","Coimbatore Singallur Lake Bund",10.9944769,77.0235586
"Coimbatore","Coimbatore Singanallur Lake",10.9974946,77.0189023
"Coimbatore","IN-Tamil Nadu-Kurichi Lake",10.9688483,76.967197
"Coimbatore","Kalapatti wetland, Coimbatore",11.0785773,77.0436054
"Coimbatore","Kallipalayam lake",10.7158378,76.9448318
"Coimbatore","Kannampalayam Lake, Coimbatore",11.0021973,77.0946693
"Coimbatore","Kolarampathy Lake",10.9865048,76.9065299
"Coimbatore","Krishnampathi-TNAU Wetlands Ccba57 List1",11.0041055,76.9242582
"Coimbatore","Krishnampathi lake",11.004028,76.924303
"Coimbatore","Krishnampathi Lake",11.0046907,76.925553
"Coimbatore","Krishnampathi Lake, Seeranaickenpalayam",11.0046407,76.9228792
"Coimbatore","Krisshna Lake",10.6586257,76.9768453
"Coimbatore","Kumaraswamy Lake (Muthannan Kulam)",11.0035875,76.9429851
"Coimbatore","Kumaraswamy Lake (Muthnam Kulam)",11.0035875,76.9429851
"Coimbatore","Kurichi Kulam",10.9648175,76.9651079
"Coimbatore","Muthannan Kulam",11.0027262,76.9436549
"Coimbatore","Muthugounder pudur-Neelambur Road, Muthugoundan Pudur, Tamil Nadu, IN (11.053, 77.101)",11.0527009,77.1006147
"Coimbatore","Narasampathi Lake",11.0004677,76.9149028
"Coimbatore","Narasipuram Road, Coimbatore, Tamil Nadu, IN (11.004, 76.926)",11.0040275,76.9256318
"Coimbatore","Palakkad Main Road,Kurichi Kulam Coimbatore, Tamil Nadu, IN (10.971, 76.958)",10.9705455,76.9583967
"Coimbatore","Pallapalayam Lake",10.9914128,77.0789194
"Coimbatore","Periyakuttai (பெரிய குட்டை)",11.0766723,77.0346237
"Coimbatore","Perur Bypass Road, CellNo 7695,1098 LIST 1  Coimbatore, Tamil Nadu, IN (10.987, 76.956)",10.9870344,76.9558074
"Coimbatore","Perur Puttuveeki Lake",10.9719279,76.9058901
"Coimbatore","Ravathur Road Lake",11.0200585,77.0795846
"Coimbatore","Selvachinthamani Lake",10.9909781,76.946826
"Coimbatore","Selvampathy lake",11.003082,76.9380498
"Coimbatore","Selvampathy Lake",11.0036296,76.9359255
"Coimbatore","Sengulam",10.9517254,76.9431996
"Coimbatore","Sengulam Lake, Coimbatore",10.950967,76.9454312
"Coimbatore","Sengulam, Coimbatore.",10.9591718,76.9408178
"Coimbatore","Singanallur Lake, Coimbatore",10.9962996,77.0206672
"Coimbatore","sulur aachankulam",11.0357282,77.090764
