ASSET.ID,LONGITUDE,LATITUDE,group.id,DISTRICT,ST_NM,g2clip,g3clip,day,daym,month,cyear,white,yellow
205538201,69.2697001,23.5487236,S65125069,Kachchh,Gujarat,1953,497,191,10,7,1992,,
205538191,70.4553,23.6873,S65125288,Kachchh,Gujarat,1956,498,344,10,12,2007,,
205538181,70.4553,23.6873,S65125289,Kachchh,Gujarat,1956,498,350,16,12,2007,,
205538171,70.4553,23.6873,S65125505,Kachchh,Gujarat,1956,498,350,16,12,2008,,
36803271,77.68,12.02,S31917044,Chamrajnagar,Karnataka,3662,935,157,6,6,2009,,
201578451,70.4553,23.6873,S65096645,Kachchh,Gujarat,1956,498,347,13,12,2009,,
201578461,70.4553,23.6873,S65096645,Kachchh,Gujarat,1956,498,347,13,12,2009,,
191942031,69.0188599,24.1456008,S22061067,Kachchh,Gujarat,1887,463,360,26,12,2009,,
191942041,69.0188599,24.1456008,S22061067,Kachchh,Gujarat,1887,463,360,26,12,2009,,
201322821,69.2675,23.3834,S64820759,Kachchh,Gujarat,2018,497,47,16,2,2011,,
205065401,69.2675,23.3834,S64820759,Kachchh,Gujarat,2018,497,47,16,2,2011,,
22155021,77.68,12.02,G1496454,Chamrajnagar,Karnataka,3662,935,66,7,3,2011,,
22155031,77.68,12.02,G1496454,Chamrajnagar,Karnataka,3662,935,66,7,3,2011,,
22155041,77.68,12.02,G1496454,Chamrajnagar,Karnataka,3662,935,66,7,3,2011,,
22155051,77.68,12.02,G1496454,Chamrajnagar,Karnataka,3662,935,66,7,3,2011,,
22155061,77.68,12.02,G1496454,Chamrajnagar,Karnataka,3662,935,66,7,3,2011,,
22155071,77.68,12.02,G1496454,Chamrajnagar,Karnataka,3662,935,66,7,3,2011,,
22155081,77.68,12.02,G1496454,Chamrajnagar,Karnataka,3662,935,66,7,3,2011,,
192629861,69.26598,23.37735,S17664676,Kachchh,Gujarat,2018,497,334,30,11,2011,,
192629951,69.26598,23.37735,S17664676,Kachchh,Gujarat,2018,497,334,30,11,2011,,
45390511,69.2728457,23.3343422,S32610182,Kachchh,Gujarat,2018,497,48,17,2,2012,,
45390811,69.2728457,23.3343422,S32610182,Kachchh,Gujarat,2018,497,48,17,2,2012,,
54337271,69.26598,23.37735,G2353394,Kachchh,Gujarat,2018,497,321,17,11,2013,,
204808031,70.5212,23.7275,S65004921,Kachchh,Gujarat,1956,498,352,18,12,2013,,
92694131,68.8097334,23.2040375,S37259059,Kachchh,Gujarat,2017,496,361,27,12,2013,,
92694141,68.8097334,23.2040375,S37259059,Kachchh,Gujarat,2017,496,361,27,12,2013,,
205784541,69.2615,23.3481,S65141328,Kachchh,Gujarat,2018,497,1,1,1,2014,,
205558211,69.6561,23.3069,S65125113,Kachchh,Gujarat,2019,497,44,13,2,2014,,
233303381,69.26598,23.37735,S68850422,Kachchh,Gujarat,2018,497,116,26,4,2014,,
233303861,69.26598,23.37735,S68850422,Kachchh,Gujarat,2018,497,116,26,4,2014,,
229253251,69.2014706,23.2443165,G5183930,Kachchh,Gujarat,2018,497,296,23,10,2014,,
88351801,73.6681956,24.562516,S43370303,Udaipur,Rajasthan,1833,469,313,9,11,2014,,
204592641,69.2675,23.3834,S64994943,Kachchh,Gujarat,2018,497,49,18,2,2015,,
204508151,69.7323934,23.0886233,S64951485,Kachchh,Gujarat,2019,497,105,15,4,2015,,
204508351,69.7323934,23.0886233,S64951486,Kachchh,Gujarat,2019,497,105,15,4,2015,,
176625901,69.1415548,23.3191637,G1640636,Kachchh,Gujarat,2018,497,8,8,1,2016,,
42582891,69.2615344,23.3331915,G1580492,Kachchh,Gujarat,2018,497,18,18,1,2016,,
