OLD.STATE,OLD.COUNTY,OLD.STATE.CODE,OLD.COUNTY.CODE,NEW.STATE,NEW.COUNTY,NEW.STATE.CODE,NEW.COUNTY.CODE
Jammu & Kashmir,Kupwara,IN-JK,IN-JK-KU,Jammu & Kashmir,Kupwara,IN-JK,IN-JK-KU
Jammu & Kashmir,Bandipore,IN-JK,IN-JK-BN,Jammu & Kashmir,Bandipore,IN-JK,IN-JK-BN
Jammu & Kashmir,Baramula,IN-JK,IN-JK-BR,Jammu & Kashmir,Baramula,IN-JK,IN-JK-BR
Jammu & Kashmir,Ganderbal,IN-JK,IN-JK-GN,Jammu & Kashmir,Ganderbal,IN-JK,IN-JK-GN
Jammu & Kashmir,Anantnag,IN-JK,IN-JK-AN,Jammu & Kashmir,Anantnag,IN-JK,IN-JK-AN
Jammu & Kashmir,Kishtwar,IN-JK,IN-JK-KS,Jammu & Kashmir,Kishtwar,IN-JK,IN-JK-KS
Jammu & Kashmir,Srinagar,IN-JK,IN-JK-SR,Jammu & Kashmir,Srinagar,IN-JK,IN-JK-SR
Jammu & Kashmir,Badgam,IN-JK,IN-JK-BD,Jammu & Kashmir,Badgam,IN-JK,IN-JK-BD
Jammu & Kashmir,Pulwama,IN-JK,IN-JK-PU,Jammu & Kashmir,Pulwama,IN-JK,IN-JK-PU
Jammu & Kashmir,Punch,IN-JK,IN-JK-PO,Jammu & Kashmir,Punch,IN-JK,IN-JK-PO
Jammu & Kashmir,Shupiyan,IN-JK,IN-JK-SH,Jammu & Kashmir,Shupiyan,IN-JK,IN-JK-SH
Jammu & Kashmir,Kulgam,IN-JK,IN-JK-KL,Jammu & Kashmir,Kulgam,IN-JK,IN-JK-KL
Jammu & Kashmir,Rajouri,IN-JK,IN-JK-RA,Jammu & Kashmir,Rajouri,IN-JK,IN-JK-RA
Jammu & Kashmir,Ramban,IN-JK,IN-JK-RM,Jammu & Kashmir,Ramban,IN-JK,IN-JK-RM
Jammu & Kashmir,Reasi,IN-JK,IN-JK-RE,Jammu & Kashmir,Reasi,IN-JK,IN-JK-RE
Jammu & Kashmir,Doda,IN-JK,IN-JK-DO,Jammu & Kashmir,Doda,IN-JK,IN-JK-DO
Jammu & Kashmir,Jammu,IN-JK,IN-JK-JA,Jammu & Kashmir,Jammu,IN-JK,IN-JK-JA
Jammu & Kashmir,Kathua,IN-JK,IN-JK-KT,Jammu & Kashmir,Kathua,IN-JK,IN-JK-KT
Jammu & Kashmir,Udhampur,IN-JK,IN-JK-UD,Jammu & Kashmir,Udhampur,IN-JK,IN-JK-UD
Jammu & Kashmir,Samba,IN-JK,IN-JK-SA,Jammu & Kashmir,Samba,IN-JK,IN-JK-SA
NA,NA,NA,NA,Jammu & Kashmir,Muzaffarabad,IN-JK,NA
NA,NA,NA,NA,Jammu & Kashmir,Mirpur,IN-JK,NA
Himachal Pradesh,Lahul and Spiti,IN-HP,IN-HP-LS,Himachal Pradesh,Lahul & Spiti,IN-HP,IN-HP-LS
Himachal Pradesh,Chamba,IN-HP,IN-HP-CH,Himachal Pradesh,Chamba,IN-HP,IN-HP-CH
Himachal Pradesh,Kangra,IN-HP,IN-HP-KA,Himachal Pradesh,Kangra,IN-HP,IN-HP-KA
Himachal Pradesh,Kullu,IN-HP,IN-HP-KU,Himachal Pradesh,Kullu,IN-HP,IN-HP-KU
Himachal Pradesh,Mandi,IN-HP,IN-HP-MA,Himachal Pradesh,Mandi,IN-HP,IN-HP-MA
Himachal Pradesh,Kinnaur,IN-HP,IN-HP-KI,Himachal Pradesh,Kinnaur,IN-HP,IN-HP-KI
Himachal Pradesh,Una,IN-HP,IN-HP-UN,Himachal Pradesh,Una,IN-HP,IN-HP-UN
Himachal Pradesh,Shimla,IN-HP,IN-HP-SH,Himachal Pradesh,Shimla,IN-HP,IN-HP-SH
Himachal Pradesh,Solan,IN-HP,IN-HP-SO,Himachal Pradesh,Solan,IN-HP,IN-HP-SO
Himachal Pradesh,Sirmaur,IN-HP,IN-HP-SI,Himachal Pradesh,Sirmaur,IN-HP,IN-HP-SI
Himachal Pradesh,Hamirpur,IN-HP,IN-HP-HA,Himachal Pradesh,Hamirpur,IN-HP,IN-HP-HA
Himachal Pradesh,Bilaspur,IN-HP,IN-HP-BI,Himachal Pradesh,Bilaspur,IN-HP,IN-HP-BI
Punjab,Gurdaspur,IN-PB,IN-PB-GU,Punjab,Gurdaspur,IN-PB,IN-PB-GU
Punjab,Hoshiarpur,IN-PB,IN-PB-HO,Punjab,Hoshiarpur,IN-PB,IN-PB-HO
Punjab,Amritsar,IN-PB,IN-PB-AM,Punjab,Amritsar,IN-PB,IN-PB-AM
Punjab,Jalandhar,IN-PB,IN-PB-JA,Punjab,Jalandhar,IN-PB,IN-PB-JA
Punjab,Tarn Taran,IN-PB,IN-PB-TA,Punjab,Tarn Taran,IN-PB,IN-PB-TA
Punjab,Rupnagar,IN-PB,IN-PB-RU,Punjab,Rupnagar,IN-PB,IN-PB-RU
Punjab,Shahid Bhagat Singh Nagar,IN-PB,IN-PB-NS,Punjab,Shahid Bhagat Singh Nagar,IN-PB,IN-PB-NS
NA,NA,NA,NA,Punjab,Fazilka,IN-PB,NA
Punjab,Moga,IN-PB,IN-PB-MO,Punjab,Moga,IN-PB,IN-PB-MO
Punjab,Ludhiana,IN-PB,IN-PB-LU,Punjab,Ludhiana,IN-PB,IN-PB-LU
Punjab,Sahibzada Ajit Singh Nagar,IN-PB,IN-PB-SH,Punjab,Sahibzada Ajit Singh Nagar,IN-PB,IN-PB-SH
Punjab,Faridkot,IN-PB,IN-PB-FR,Punjab,Faridkot,IN-PB,IN-PB-FR
Punjab,Fatehgarh Sahib,IN-PB,IN-PB-FT,Punjab,Fatehgarh Sahib,IN-PB,IN-PB-FT
NA,NA,NA,NA,Punjab,Sri Muktsar Sahib,IN-PB,NA
Punjab,Sangrur,IN-PB,IN-PB-SA,Punjab,Sangrur,IN-PB,IN-PB-SA
Punjab,Barnala,IN-PB,IN-PB-BR,Punjab,Barnala,IN-PB,IN-PB-BR
Punjab,Bathinda,IN-PB,IN-PB-BA,Punjab,Bathinda,IN-PB,IN-PB-BA
Punjab,Patiala,IN-PB,IN-PB-PA,Punjab,Patiala,IN-PB,IN-PB-PA
Punjab,Mansa,IN-PB,IN-PB-MA,Punjab,Mansa,IN-PB,IN-PB-MA
Punjab,Firozpur,IN-PB,IN-PB-FI,Punjab,Firozpur,IN-PB,IN-PB-FI
NA,NA,NA,NA,Punjab,Pathankot,IN-PB,NA
Punjab,Kapurthala,IN-PB,IN-PB-KA,Punjab,Kapurthala,IN-PB,IN-PB-KA
Chandigarh,Chandigarh,IN-CH,IN-CH-CH,Chandigarh,Chandigarh,IN-CH,IN-CH-CH
Uttarakhand,Uttarkashi,IN-UL,IN-UL-UT,Uttarakhand,Uttarkashi,IN-UL,IN-UL-UT
Uttarakhand,Chamoli,IN-UL,IN-UL-CL,Uttarakhand,Chamoli,IN-UL,IN-UL-CL
Uttarakhand,Dehradun,IN-UL,IN-UL-DD,Uttarakhand,Dehradun,IN-UL,IN-UL-DD
Uttarakhand,Tehri Garhwal,IN-UL,IN-UL-TG,Uttarakhand,Tehri Garhwal,IN-UL,IN-UL-TG
Uttarakhand,Rudraprayag,IN-UL,IN-UL-RP,Uttarakhand,Rudraprayag,IN-UL,IN-UL-RP
Uttarakhand,Pithoragarh,IN-UL,IN-UL-PI,Uttarakhand,Pithoragarh,IN-UL,IN-UL-PI
Uttarakhand,Bageshwar,IN-UL,IN-UL-BA,Uttarakhand,Bageshwar,IN-UL,IN-UL-BA
Uttarakhand,Hardwar,IN-UL,IN-UL-HA,Uttarakhand,Hardwar,IN-UL,IN-UL-HA
Uttarakhand,Garhwal,IN-UL,IN-UL-PG,Uttarakhand,Garhwal,IN-UL,IN-UL-PG
Uttarakhand,Almora,IN-UL,IN-UL-AL,Uttarakhand,Almora,IN-UL,IN-UL-AL
Uttarakhand,Nainital,IN-UL,IN-UL-NA,Uttarakhand,Nainital,IN-UL,IN-UL-NA
Uttarakhand,Champawat,IN-UL,IN-UL-CP,Uttarakhand,Champawat,IN-UL,IN-UL-CP
Uttarakhand,Udham Singh Nagar,IN-UL,IN-UL-US,Uttarakhand,Udham Singh Nagar,IN-UL,IN-UL-US
Haryana,Jhajjar,IN-HR,IN-HR-JH,Haryana,Jhajjar,IN-HR,IN-HR-JH
Haryana,Gurgaon,IN-HR,IN-HR-GU,Haryana,Gurugram,IN-HR,IN-HR-GU
Haryana,Faridabad,IN-HR,IN-HR-FR,Haryana,Faridabad,IN-HR,IN-HR-FR
Haryana,Mahendragarh,IN-HR,IN-HR-MA,Haryana,Mahendragarh,IN-HR,IN-HR-MA
Haryana,Rewari,IN-HR,IN-HR-RE,Haryana,Rewari,IN-HR,IN-HR-RE
Haryana,Mewat,IN-HR,IN-HR-ME,Haryana,Nuh,IN-HR,IN-HR-ME
Haryana,Palwal,IN-HR,IN-HR-PL,Haryana,Palwal,IN-HR,IN-HR-PL
NA,NA,NA,NA,Haryana,Charki Dadri,IN-HR,NA
Haryana,Yamunanagar,IN-HR,IN-HR-YN,Haryana,Yamunanagar,IN-HR,IN-HR-YN
Haryana,Kurukshetra,IN-HR,IN-HR-KU,Haryana,Kurukshetra,IN-HR,IN-HR-KU
Haryana,Kaithal,IN-HR,IN-HR-KT,Haryana,Kaithal,IN-HR,IN-HR-KT
Haryana,Sirsa,IN-HR,IN-HR-SI,Haryana,Sirsa,IN-HR,IN-HR-SI
Haryana,Karnal,IN-HR,IN-HR-KR,Haryana,Karnal,IN-HR,IN-HR-KR
Haryana,Jind,IN-HR,IN-HR-JI,Haryana,Jind,IN-HR,IN-HR-JI
Haryana,Fatehabad,IN-HR,IN-HR-FT,Haryana,Fatehabad,IN-HR,IN-HR-FT
Haryana,Hisar,IN-HR,IN-HR-HI,Haryana,Hisar,IN-HR,IN-HR-HI
Haryana,Panipat,IN-HR,IN-HR-PP,Haryana,Panipat,IN-HR,IN-HR-PP
Haryana,Sonipat,IN-HR,IN-HR-SO,Haryana,Sonipat,IN-HR,IN-HR-SO
Haryana,Bhiwani,IN-HR,IN-HR-BH,Haryana,Bhiwani,IN-HR,IN-HR-BH
Haryana,Rohtak,IN-HR,IN-HR-RO,Haryana,Rohtak,IN-HR,IN-HR-RO
Haryana,Panchkula,IN-HR,IN-HR-PK,Haryana,Panchkula,IN-HR,IN-HR-PK
Haryana,Ambala,IN-HR,IN-HR-AM,Haryana,Ambala,IN-HR,IN-HR-AM
Delhi,North Delhi,IN-DL,IN-DL-NO,Delhi,North,IN-DL,IN-DL-NO
Delhi,North East Delhi,IN-DL,IN-DL-NE,Delhi,North East,IN-DL,IN-DL-NE
Delhi,West Delhi,IN-DL,IN-DL-WE,Delhi,West,IN-DL,IN-DL-WE
Delhi,East Delhi,IN-DL,IN-DL-EA,Delhi,East,IN-DL,IN-DL-EA
Delhi,South West Delhi,IN-DL,IN-DL-SW,Delhi,South West,IN-DL,IN-DL-SW
Delhi,Central Delhi,IN-DL,IN-DL-CE,Delhi,Central,IN-DL,IN-DL-CE
Delhi,New Delhi,IN-DL,IN-DL-ND,Delhi,New Delhi,IN-DL,IN-DL-ND
Delhi,South Delhi,IN-DL,IN-DL-SO,Delhi,South,IN-DL,IN-DL-SO
NA,NA,NA,NA,Delhi,Shahdara,IN-DL,NA
NA,NA,NA,NA,Delhi,South East,IN-DL,NA
Delhi,North West Delhi,IN-DL,IN-DL-NW,Delhi,North West,IN-DL,IN-DL-NW
Rajasthan,Churu,IN-RJ,IN-RJ-CR,Rajasthan,Churu,IN-RJ,IN-RJ-CR
Rajasthan,Jhunjhunun,IN-RJ,IN-RJ-JJ,Rajasthan,Jhunjhunun,IN-RJ,IN-RJ-JJ
Rajasthan,Jaisalmer,IN-RJ,IN-RJ-JS,Rajasthan,Jaisalmer,IN-RJ,IN-RJ-JS
Rajasthan,Sikar,IN-RJ,IN-RJ-SK,Rajasthan,Sikar,IN-RJ,IN-RJ-SK
Rajasthan,Alwar,IN-RJ,IN-RJ-AL,Rajasthan,Alwar,IN-RJ,IN-RJ-AL
Rajasthan,Jaipur,IN-RJ,IN-RJ-JP,Rajasthan,Jaipur,IN-RJ,IN-RJ-JP
Rajasthan,Jodhpur,IN-RJ,IN-RJ-JO,Rajasthan,Jodhpur,IN-RJ,IN-RJ-JO
Rajasthan,Bharatpur,IN-RJ,IN-RJ-BP,Rajasthan,Bharatpur,IN-RJ,IN-RJ-BP
Rajasthan,Nagaur,IN-RJ,IN-RJ-NA,Rajasthan,Nagaur,IN-RJ,IN-RJ-NA
Rajasthan,Dausa,IN-RJ,IN-RJ-DA,Rajasthan,Dausa,IN-RJ,IN-RJ-DA
Rajasthan,Karauli,IN-RJ,IN-RJ-KA,Rajasthan,Karauli,IN-RJ,IN-RJ-KA
Rajasthan,Dhaulpur,IN-RJ,IN-RJ-DH,Rajasthan,Dhaulpur,IN-RJ,IN-RJ-DH
Rajasthan,Barmer,IN-RJ,IN-RJ-BM,Rajasthan,Barmer,IN-RJ,IN-RJ-BM
Rajasthan,Sawai Madhopur,IN-RJ,IN-RJ-SM,Rajasthan,Sawai Madhopur,IN-RJ,IN-RJ-SM
Rajasthan,Tonk,IN-RJ,IN-RJ-TO,Rajasthan,Tonk,IN-RJ,IN-RJ-TO
Rajasthan,Pali,IN-RJ,IN-RJ-PA,Rajasthan,Pali,IN-RJ,IN-RJ-PA
Rajasthan,Bhilwara,IN-RJ,IN-RJ-BW,Rajasthan,Bhilwara,IN-RJ,IN-RJ-BW
Rajasthan,Jalor,IN-RJ,IN-RJ-JL,Rajasthan,Jalor,IN-RJ,IN-RJ-JL
Rajasthan,Bundi,IN-RJ,IN-RJ-BU,Rajasthan,Bundi,IN-RJ,IN-RJ-BU
Rajasthan,Kota,IN-RJ,IN-RJ-KO,Rajasthan,Kota,IN-RJ,IN-RJ-KO
Rajasthan,Sirohi,IN-RJ,IN-RJ-SR,Rajasthan,Sirohi,IN-RJ,IN-RJ-SR
Rajasthan,Baran,IN-RJ,IN-RJ-BR,Rajasthan,Baran,IN-RJ,IN-RJ-BR
Rajasthan,Udaipur,IN-RJ,IN-RJ-UD,Rajasthan,Udaipur,IN-RJ,IN-RJ-UD
Rajasthan,Jhalawar,IN-RJ,IN-RJ-JW,Rajasthan,Jhalawar,IN-RJ,IN-RJ-JW
Rajasthan,Dungarpur,IN-RJ,IN-RJ-DU,Rajasthan,Dungarpur,IN-RJ,IN-RJ-DU
Rajasthan,Banswara,IN-RJ,IN-RJ-BN,Rajasthan,Banswara,IN-RJ,IN-RJ-BN
Rajasthan,Ajmer,IN-RJ,IN-RJ-AJ,Rajasthan,Ajmer,IN-RJ,IN-RJ-AJ
Rajasthan,Rajsamand,IN-RJ,IN-RJ-RA,Rajasthan,Rajsamand,IN-RJ,IN-RJ-RA
Rajasthan,Chittaurgarh,IN-RJ,IN-RJ-CT,Rajasthan,Chittaurgarh,IN-RJ,IN-RJ-CT
Rajasthan,Ganganagar,IN-RJ,IN-RJ-GA,Rajasthan,Ganganagar,IN-RJ,IN-RJ-GA
