ASSET.ID,OBS.ID,ASSET.TYPE,DISTRICT,ST_NM,OBSERVATION.COUNT,SAMPLING.EVENT.IDENTIFIER,LATITUDE,LONGITUDE,TIME.OBSERVATIONS.STARTED,OBSERVER.ID,PROTOCOL.TYPE,DURATION.MINUTES,EFFORT.DISTANCE.KM,ALL.SPECIES.REPORTED,month,day,daym,cyear,region
20353851,OBS347483019,photo,Dindigul,Tamil Nadu,20,S25389438,10.3838219,77.3726106,6:30:00,obsr559967,Traveling,156,1,1,10,284,11,2015,WGhats
20687691,OBS350942883,photo,Tiruchirappalli,Tamil Nadu,25,S25651593,11.0639484,78.6846721,17:45:00,obsr660102,Stationary,30,NA,1,10,304,31,2015,Plains
20687701,OBS350942883,photo,Tiruchirappalli,Tamil Nadu,25,S25651593,11.0639484,78.6846721,17:45:00,obsr660102,Stationary,30,NA,1,10,304,31,2015,Plains
20687711,OBS350942883,photo,Tiruchirappalli,Tamil Nadu,25,S25651593,11.0639484,78.6846721,17:45:00,obsr660102,Stationary,30,NA,1,10,304,31,2015,Plains
20816201,OBS351940442,photo,Tiruppur,Tamil Nadu,6,S25726792,10.746208,77.5125843,5:53:00,obsr559967,Traveling,93,1,1,11,310,6,2015,Plains
20822361,OBS351979435,photo,Alappuzha,Kerala,1,S25729555,9.79046,76.30463,8:36:00,obsr509525,Stationary,21,NA,1,11,311,7,2015,Plains
20882861,OBS352449084,photo,Tiruppur,Tamil Nadu,12,S25764249,10.746208,77.5125843,6:03:00,obsr559967,Traveling,115,1,1,11,313,9,2015,Plains
20978201,OBS353083876,photo,Pune,Maharashtra,8,S25811099,18.4893165,73.8036255,7:00:00,obsr662996,Traveling,100,2.414,1,11,312,8,2015,WGhats
21010891,OBS353240828,photo,Tumkur,Karnataka,120,S25823880,13.7090347,77.3012638,7:00:00,obsr360080,Traveling,150,16,1,11,318,14,2015,Plains
21186541,OBS354376257,photo,Mandya,Karnataka,1,S25919595,12.4258897,76.6568685,9:30:00,obsr665632,Traveling,120,5,1,11,314,10,2015,Plains
21209611,OBS354523535,photo,Tiruppur,Tamil Nadu,8,S25930870,10.746208,77.5125843,6:07:00,obsr559967,Stationary,95,NA,1,11,322,18,2015,Plains
21209661,OBS354523535,photo,Tiruppur,Tamil Nadu,8,S25930870,10.746208,77.5125843,6:07:00,obsr559967,Stationary,95,NA,1,11,322,18,2015,Plains
21398981,OBS355880183,photo,Jalgaon,Maharashtra,5,S26027316,20.9803813,75.565145,11:00:00,obsr663011,Stationary,150,NA,1,11,332,28,2015,Plains
21481961,OBS356557633,photo,Kamrup,Assam,6,S26083865,26.1507098,91.6572538,12:10:00,obsr542571,Traveling,15,0.25,1,12,335,1,2015,Plains
21484981,OBS356593021,photo,Jalgaon,Maharashtra,40,S26086500,21.0256483,75.5722743,6:30:00,obsr663011,Stationary,120,NA,1,12,335,1,2015,Plains
21486301,OBS356596875,photo,Jalgaon,Maharashtra,44,S26086864,21.0256483,75.5722743,16:10:00,obsr663011,Stationary,90,NA,1,12,335,1,2015,Plains
