CATEGORY,COMMON.NAME,STATE,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION.DATE,OBSERVER.ID,SAMPLING.EVENT.IDENTIFIER,GROUP.IDENTIFIER,SPECIES.COMMENTS,year,month,daym,source,group.id
species,Alexandrine Parakeet,,,"Pune, Maharashtra.",NA,NA,2/28/2020,RESQ Charitable Trust - Pune,O33,NA,"Collied on a glass window, no physical injuries observed. Unable to fly.",2020,2,28,RESQ,O33
species,Asian Brown Flycatcher,,,Coimbatore,NA,NA,10/15/2020,Kishore Kishore,O44,NA,"Yesterday night accidentally got hit in window and was lying down, morning will leave it in garden as he's good in flying..",2020,10,15,Facebook,O44
species,Asian Emerald Dove,,,,NA,NA,2/12/2019,Anwesha Ghosh,O12,NA,Today morning I saw this Emerald Dove fly straight into a glass window of a school building and collapse into the ground. It succumbed to the injuries sustained as a result of banging into the glass pane and died within a few minutes. Everything happened so suddenly. It was painful to see a bird die like this..Sadly so many birds die each year as a result of striking into glass panes.. After the collision it flew bizarrely for a few seconds and then collapsed to the ground. It tried digging its head in the undergrowth for a little while and then lay still with its head buried in the undergrowth. I didn't try to revive it as I didn't know how to. Moreover I was too shocked as the whole incident happened very suddenly.,2019,2,12,Facebook,O12
species,Asian Emerald Dove,,,Dehradun WII campus,NA,NA,1/1/1990,Sumit Dookia,O19,NA,I have witnessed 4 Emerald Dove hit case with window glasses of WII hostel during 2004-07,1990,1,1,Pers. Comm.,O19
species,Asian Emerald Dove,,,Dehradun WII campus,NA,NA,1/1/1990,Sumit Dookia,O20,NA,I have witnessed 4 Emerald Dove hit case with window glasses of WII hostel during 2004-07,1990,1,1,Pers. Comm.,O20
species,Asian Emerald Dove,,,Dehradun WII campus,NA,NA,1/1/1990,Sumit Dookia,O21,NA,I have witnessed 4 Emerald Dove hit case with window glasses of WII hostel during 2004-07,1990,1,1,Pers. Comm.,O21
species,Asian Emerald Dove,,,Dehradun WII campus,NA,NA,1/1/1990,Sumit Dookia,O22,NA,I have witnessed 4 Emerald Dove hit case with window glasses of WII hostel during 2004-07,1990,1,1,Pers. Comm.,O22
species,Asian Emerald Dove,Karnataka,Kodagu,Honey Valley,NA,NA,1/1/1990,Peeyush Sekhsaria,O78,NA,Hit a vertical glass pane of a regular window in the dining hall with a huge thud and was found dead at the base of the window,1990,1,1,iNaturalist,O78
species,Asian Emerald Dove,Karnataka,Uttara Kannada,Ganeshgudi village,15.2824202,74.5331597,10/27/2016,obsr550982,S32361193,NA,"1 female (out of the pair) unfortunately dashed on the transparent glass of the vehicle in front of us.....the impact proved fatal. This is one of the many instances I have witnessed with Emerald Doves and Oriental Dwarf Kingfishers all over Western Ghats where they dash on the glass or mirror, thinking that it is a gap between the undergrowth..... both these species are known to fly in break-neck speeds through the gaps in undergrowth.",2016,10,27,eBird media,S32361193
species,Asian Koel,,,Kohima,NA,NA,8/24/2019,Madhumadhab Ghosal,O11,NA,What's id of the bird. The bird lost it's way to its original track and were struck in an window pane in Kohima,2019,8,24,Facebook,O11
species,Asian Koel,,,"Pune, Maharashtra.",NA,NA,7/8/2020,RESQ Charitable Trust - Pune,O40,NA,"Collied on a glass window, unable to fly. Head trauma observed, Injury to left eye and neck.",2020,7,8,RESQ,O40
species,Asian Koel,,,"Pune, Maharashtra.",NA,NA,3/14/2019,RESQ Charitable Trust - Pune,O43,NA,"Collied on a glass window, Suspected head trauma as the position of the the neck and head is not right.",2019,3,14,RESQ,O43
species,Asian Koel,Karnataka,Bengaluru,Bengaluru,NA,NA,5/5/2018,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",O52,NA,Collision,2018,5,5,ARRC,O52
species,Asian Koel,Karnataka,Bengaluru,Bengaluru,NA,NA,1/18/2020,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",O66,NA,"Collision, Ocular injury",2020,1,18,ARRC,O66
species,Asian Koel,,,Chandigarh,NA,NA,1/1/1990,Vikram Jit Singh,O7,NA,No. Birds even crash into a single-storey houses with reflective surfaces. We had a female Asian koel crash into our window.,1990,1,1,Facebook,O7
species,Asian Koel,Karnataka,Bengaluru,Bengaluru,NA,NA,7/6/2020,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",O70,NA,Collision,2020,7,6,ARRC,O70
species,Barn Owl,,,Ambad MIDC Nashik,NA,NA,5/18/2015,Avinash Adaskar,O16,NA,"Owl aacdently entered in factory godown in day time n got samased to glass window n fall down.pic taken on cell camera For while it was unconscious,next moment ready to fly and flew away.even next day we found near godown",2015,5,18,Facebook,O16
species,Barn Owl,Karnataka,Bengaluru,Bengaluru,NA,NA,2/3/2019,"Avian and Reptile Rehabilitation Centre, Bengaluru (ARRC)",O54,NA,Collision,2019,2,3,ARRC,O54
species,Baya Weaver,,,"Pune, Maharashtra.",NA,NA,7/7/2020,RESQ Charitable Trust - Pune,O41,NA,"Fledgling collied against a glass window, possibly while learning to fly. Found in a state of shock.",2020,7,7,RESQ,O41
