"COMMON.NAME","Concern.Status","IUCN"
"Bar-winged Wren-Babbler","High","Least Concern"
"Gray-sided Laughingthrush","High","Least Concern"
"Rusty-throated Wren-Babbler","High","Vulnerable"
"Beautiful Nuthatch","High","Vulnerable"
"Blyth's Tragopan","High","Vulnerable"
"Ward's Trogon","High","Near Threatened"
"Rufous-necked Hornbill","High","Vulnerable"
"Chestnut-breasted Partridge","High","Vulnerable"
"Sclater's Monal","High","Vulnerable"
"Black-breasted Parrotbill","High","Vulnerable"
"Steppe Eagle","High","Endangered"
"Slender-billed Vulture","High","Critically Endangered"
"Yellow-breasted Bunting","High","Critically Endangered"
"Dark-rumped Swift","High","Vulnerable"
"Great Slaty Woodpecker","High","Vulnerable"
"White-rumped Vulture","High","Critically Endangered"
"Wreathed Hornbill","High","Vulnerable"
"Large Blue Flycatcher","High","Least Concern"
"Jerdon's Babbler","High","Vulnerable"
"Marsh Babbler","High","Vulnerable"
"Bengal Florican","High","Critically Endangered"
"Cinnamon Bittern","High","Least Concern"
"Pale-capped Pigeon","High","Vulnerable"
"Large Cuckooshrike","High","Least Concern"
"Chinese Rubythroat","High","Least Concern"
"Black-throated Parrotbill","Moderate","Least Concern"
"Darjeeling Woodpecker","Moderate","Least Concern"
"Eurasian Sparrowhawk","Moderate","Least Concern"
"Golden-throated Barbet","Moderate","Least Concern"
"Ludlow's Fulvetta","Moderate","Least Concern"
"Rufous-breasted Bush-Robin","Moderate","Least Concern"
"Rufous-vented Yuhina","Moderate","Least Concern"
"Streak-throated Barwing","Moderate","Least Concern"
"Yellow-browed Tit","Moderate","Least Concern"
"Beautiful Sibia","Moderate","Least Concern"
"Chevron-breasted Babbler","Moderate","Near Threatened"
"Himalayan Swiftlet","Moderate","Least Concern"
"Olive-backed Pipit","Moderate","Least Concern"
"Slender-billed Scimitar-Babbler","Moderate","Least Concern"
"Striated Yuhina","Moderate","Least Concern"
"White-gorgeted Flycatcher","Moderate","Least Concern"
"White-naped Yuhina","Moderate","Least Concern"
