"COMMON.NAME","Concern.Status","IUCN"
"Gray-sided Laughingthrush","High","Least Concern"
"Rusty-throated Wren-Babbler","High","Vulnerable"
"Beautiful Nuthatch","High","Vulnerable"
"Bar-winged Wren-Babbler","High","Least Concern"
"Ward's Trogon","High","Near Threatened"
"Chestnut-breasted Partridge","High","Vulnerable"
"Rufous-necked Hornbill","High","Vulnerable"
"Bengal Florican","High","Critically Endangered"
"Cinnamon Bittern","High","Least Concern"
"Swamp Francolin","High","Vulnerable"
"Blyth's Tragopan","High","Vulnerable"
"Slender-billed Vulture","High","Critically Endangered"
"White-rumped Vulture","High","Critically Endangered"
"Large Cuckooshrike","High","Least Concern"
"Sclater's Monal","High","Vulnerable"
"Black-breasted Parrotbill","High","Vulnerable"
"Jerdon's Babbler","High","Vulnerable"
"Marsh Babbler","High","Vulnerable"
"Wreathed Hornbill","High","Vulnerable"
"Red-headed Vulture","High","Critically Endangered"
"Steppe Eagle","High","Endangered"
"Chinese Rubythroat","High","Least Concern"
"Yellow-breasted Bunting","High","Critically Endangered"
"Large Blue Flycatcher","High","Least Concern"
"Dark-rumped Swift","High","Vulnerable"
"Great Slaty Woodpecker","High","Vulnerable"
"Short-toed Snake-Eagle","High","Least Concern"
"Small Minivet","High","Least Concern"
"Swamp Grass Babbler","High","Endangered"
"Common Greenshank","High","Least Concern"
"Pale-capped Pigeon","High","Vulnerable"
"Beautiful Sibia","Moderate","Least Concern"
"Black Stork","Moderate","Least Concern"
"Collared Treepie","Moderate","Least Concern"
"Golden-throated Barbet","Moderate","Least Concern"
"Gray-headed Canary-Flycatcher","Moderate","Least Concern"
"Little Spiderhunter","Moderate","Least Concern"
"Olive-backed Pipit","Moderate","Least Concern"
"Striated Yuhina","Moderate","Least Concern"
"White-naped Yuhina","Moderate","Least Concern"
"White Wagtail","Moderate","Least Concern"
"Chevron-breasted Babbler","Moderate","Near Threatened"
"Hume's Bush Warbler","Moderate","Least Concern"
"Rufous-bellied Eagle","Moderate","Near Threatened"
"Rufous-vented Yuhina","Moderate","Least Concern"
"Slender-billed Scimitar-Babbler","Moderate","Least Concern"
"Streak-throated Barwing","Moderate","Least Concern"
"White-tailed Robin","Moderate","Least Concern"
"Yellow-browed Tit","Moderate","Least Concern"
"Yellow-throated Fulvetta","Moderate","Least Concern"
"Eurasian Kestrel","Moderate","Least Concern"
"Long-billed Wren-Babbler","Moderate","Least Concern"
"Ludlow's Fulvetta","Moderate","Least Concern"
"Rufous-bellied Niltava","Moderate","Least Concern"
"White-gorgeted Flycatcher","Moderate","Least Concern"
"Black-throated Parrotbill","Moderate","Least Concern"
"Black-throated Prinia","Moderate","Least Concern"
"Red-tailed Minla","Moderate","Least Concern"
"Banded Bay Cuckoo","Moderate","Least Concern"
"Bar-winged Flycatcher-shrike","Moderate","Least Concern"
"Eurasian Sparrowhawk","Moderate","Least Concern"
"Jungle Myna","Moderate","Least Concern"
"Plumbeous Redstart","Moderate","Least Concern"
"River Lapwing","Moderate","Near Threatened"
"Small Pratincole","Moderate","Least Concern"
"Pale-headed Woodpecker","Moderate","Least Concern"
"Plaintive Cuckoo","Moderate","Least Concern"
"Black-naped Monarch","Moderate","Least Concern"
"Himalayan Cutia","Moderate","Least Concern"
"Himalayan Swiftlet","Moderate","Least Concern"
"Mountain Imperial-Pigeon","Moderate","Least Concern"
"Greater Spotted Eagle","Moderate","Vulnerable"
"Long-tailed Minivet","Moderate","Least Concern"
"Puff-throated Babbler","Moderate","Least Concern"
"Scaly Laughingthrush","Moderate","Least Concern"
"White-rumped Munia","Moderate","Least Concern"
"Yellow-vented Warbler","Moderate","Least Concern"
"Ashy Woodswallow","Moderate","Least Concern"
"Blue Rock-Thrush","Moderate","Least Concern"
"Little Ringed Plover","Moderate","Least Concern"
"Long-tailed Shrike","Moderate","Least Concern"
"Oriental Skylark","Moderate","Least Concern"
"Pied Kingfisher","Moderate","Least Concern"
"Darjeeling Woodpecker","Moderate","Least Concern"
"Rufous-breasted Bush-Robin","Moderate","Least Concern"
"Black-headed Shrike-Babbler","Moderate","Least Concern"
"Nepal House-Martin","Moderate","Least Concern"
"Yellow-browed Warbler","Moderate","Least Concern"
"Yellow-rumped Honeyguide","Moderate","Near Threatened"
"Blyth's Swift","Moderate","Least Concern"
"Indian Cuckoo","Moderate","Least Concern"
"Crested Bunting","Moderate","Least Concern"
"Orange-headed Thrush","Moderate","Least Concern"
"Red-breasted Parakeet","Moderate","Near Threatened"
"White-browed Wagtail","Moderate","Least Concern"
"Blue-fronted Robin","Moderate","Least Concern"
"Broad-billed Warbler","Moderate","Least Concern"
"Common Cuckoo","Moderate","Least Concern"
"Himalayan Cuckoo","Moderate","Least Concern"
"Large-billed Leaf Warbler","Moderate","Least Concern"
"Lemon-rumped Warbler","Moderate","Least Concern"
"Lesser Cuckoo","Moderate","Least Concern"
"Rusty-bellied Shortwing","Moderate","Near Threatened"
"Ashy Wood-Pigeon","Moderate","Least Concern"
"Blue-winged Laughingthrush","Moderate","Least Concern"
"Maroon-backed Accentor","Moderate","Least Concern"
"Common Sandpiper","Moderate","Least Concern"
"Himalayan Griffon","Moderate","Near Threatened"
"Lesser Adjutant","Moderate","Vulnerable"
"Northern Lapwing","Moderate","Near Threatened"
"Black Redstart","Moderate","Least Concern"
"Pale-billed Parrotbill","Moderate","Least Concern"
"White-hooded Babbler","Moderate","Least Concern"
"Gold-naped Finch","Moderate","Least Concern"
"Fire-tailed Myzornis","Moderate","Least Concern"
"Eurasian Hoopoe","Moderate","Least Concern"
"Eurasian Griffon","Moderate","Least Concern"
"Purple Cochoa","Moderate","Least Concern"
"Besra","Moderate","Least Concern"
"Greater Racket-tailed Drongo","Moderate","Least Concern"
"Greenish Warbler","Moderate","Least Concern"
"Scarlet-backed Flowerpecker","Moderate","Least Concern"
"White-cheeked Partridge","Moderate","Near Threatened"
"Green Sandpiper","Moderate","Least Concern"
"Streaked Weaver","Moderate","Least Concern"
"Pygmy Flycatcher","Moderate","Least Concern"
"Green-crowned Warbler","Moderate","Least Concern"
"Watercock","Moderate","Least Concern"
"Rufous-backed Sibia","Moderate","Least Concern"
"Crimson-browed Finch","Moderate","Least Concern"
"Pallid Harrier","Moderate","Near Threatened"
"Buff-chested Babbler","Moderate","Least Concern"
"Gould's Shortwing","Moderate","Least Concern"
"Gray Sibia","Moderate","Least Concern"
"Sapphire Flycatcher","Moderate","Least Concern"
"European Starling","Moderate","Least Concern"
"Spot-breasted Scimitar-Babbler","Moderate","Least Concern"
"Long-tailed Thrush","Moderate","Least Concern"
"Common Iora","Moderate","Least Concern"
"Eurasian Coot","Moderate","Least Concern"
"Brown Bullfinch","Moderate","Least Concern"
"Spot-winged Starling","Moderate","Least Concern"
"Spotted Bush Warbler","Moderate","Least Concern"
"Golden-headed Cisticola","Moderate","Least Concern"
"Temminck's Stint","Moderate","Least Concern"
"Richard's Pipit","Moderate","Least Concern"
"Rufous-throated Partridge","Moderate","Least Concern"
"Blue-naped Pitta","Moderate","Least Concern"
"Common Hawk-Cuckoo","Moderate","Least Concern"
"Collared Grosbeak","Moderate","Least Concern"
"Gray-capped Woodpecker","Moderate","Least Concern"
"Smoky Warbler","Moderate","Least Concern"
"Siberian Rubythroat","Moderate","Least Concern"
"Gray-headed Swamphen","Moderate","Least Concern"
"Little Stint","Moderate","Least Concern"
"Brown-cheeked Fulvetta","Moderate","Least Concern"
"Hodgson's Treecreeper","Moderate","Least Concern"
"Jerdon's Baza","Moderate","Least Concern"
"Rusty-flanked Treecreeper","Moderate","Least Concern"
"Kentish Plover","Moderate","Least Concern"
"Pin-tailed Snipe","Moderate","Least Concern"
"Sikkim Treecreeper","Moderate","Least Concern"
"Greater Painted-Snipe","Moderate","Least Concern"
"Black-browed Tit","Moderate","Least Concern"
"Rufous-throated Fulvetta","Moderate","Least Concern"
"Velvet-fronted Nuthatch","Moderate","Least Concern"
"Spot-breasted Laughingthrush","Moderate","Least Concern"
"Blood Pheasant","Moderate","Least Concern"
"Dark-sided Thrush","Moderate","Least Concern"
"Pheasant-tailed Jacana","Moderate","Least Concern"
"Common Redshank","Moderate","Least Concern"
"Assam Laughingthrush","Moderate","Least Concern"
"Ashy-throated Warbler","Low","Least Concern"
"Ashy Bulbul","Low","Least Concern"
"Ashy Drongo","Low","Least Concern"
"Asian Emerald Dove","Low","Least Concern"
"Asian Palm-Swift","Low","Least Concern"
"Barred Cuckoo-Dove","Low","Least Concern"
"Black-throated Sunbird","Low","Least Concern"
"Black-throated Tit","Low","Least Concern"
"Black Bulbul","Low","Least Concern"
"Black Drongo","Low","Least Concern"
"Black Eagle","Low","Least Concern"
"Blue-throated Barbet","Low","Least Concern"
"Blue-winged Minla","Low","Least Concern"
"Blue Whistling-Thrush","Low","Least Concern"
"Blyth's Leaf Warbler","Low","Least Concern"
"Bronzed Drongo","Low","Least Concern"
"Brownish-flanked Bush Warbler","Low","Least Concern"
"Chestnut-crowned Warbler","Low","Least Concern"
"Chestnut-tailed Starling","Low","Least Concern"
"Common Tailorbird","Low","Least Concern"
"Crested Serpent-Eagle","Low","Least Concern"
"Eurasian Tree Sparrow","Low","Least Concern"
"Fire-breasted Flowerpecker","Low","Least Concern"
"Fulvous-breasted Woodpecker","Low","Least Concern"
"Golden Babbler","Low","Least Concern"
"Gray-backed Shrike","Low","Least Concern"
"Gray Treepie","Low","Least Concern"
"Great Barbet","Low","Least Concern"
"Greater Yellownape","Low","Least Concern"
"Hair-crested Drongo","Low","Least Concern"
"Himalayan Buzzard","Low","Least Concern"
"House Crow","Low","Least Concern"
"House Sparrow","Low","Least Concern"
"Indian White-eye","Low","Least Concern"
"Large-billed Crow","Low","Least Concern"
"Lesser Racket-tailed Drongo","Low","Least Concern"
"Maroon Oriole","Low","Least Concern"
"Mountain Bulbul","Low","Least Concern"
"Mountain Hawk-Eagle","Low","Least Concern"
"Mountain Tailorbird","Low","Least Concern"
"Nepal Fulvetta","Low","Least Concern"
"Orange-bellied Leafbird","Low","Least Concern"
"Oriental Magpie-Robin","Low","Least Concern"
"Pin-tailed Green-Pigeon","Low","Least Concern"
"Plain Flowerpecker","Low","Least Concern"
"Red-vented Bulbul","Low","Least Concern"
"Red-whiskered Bulbul","Low","Least Concern"
"Rufous-gorgeted Flycatcher","Low","Least Concern"
"Rusty-fronted Barwing","Low","Least Concern"
"Scarlet Minivet","Low","Least Concern"
"Siberian Stonechat","Low","Least Concern"
"Silver-eared Mesia","Low","Least Concern"
"Small Niltava","Low","Least Concern"
"Speckled Piculet","Low","Least Concern"
"Streaked Spiderhunter","Low","Least Concern"
"Striated Bulbul","Low","Least Concern"
"Verditer Flycatcher","Low","Least Concern"
"Whiskered Yuhina","Low","Least Concern"
"White-bellied Erpornis","Low","Least Concern"
"White-crested Laughingthrush","Low","Least Concern"
"White-throated Fantail","Low","Least Concern"
"Yellow-bellied Fairy-Fantail","Low","Least Concern"
"Yellow-cheeked Tit","Low","Least Concern"
"Alpine Accentor","Low","Least Concern"
"Black-faced Warbler","Low","Least Concern"
"Blue-fronted Redstart","Low","Least Concern"
"Chestnut-bellied Rock-Thrush","Low","Least Concern"
"Chestnut-tailed Minla","Low","Least Concern"
"Eurasian Wren","Low","Least Concern"
"Fire-tailed Sunbird","Low","Least Concern"
"Gray-breasted Prinia","Low","Least Concern"
"Gray Wagtail","Low","Least Concern"
"Green-tailed Sunbird","Low","Least Concern"
"Hill Partridge","Low","Least Concern"
"Himalayan Bluetail","Low","Least Concern"
"Little Forktail","Low","Least Concern"
"Red-headed Trogon","Low","Least Concern"
"Rufous-capped Babbler","Low","Least Concern"
"Stripe-throated Yuhina","Low","Least Concern"
"Wedge-tailed Green-Pigeon","Low","Least Concern"
"White-tailed Nuthatch","Low","Least Concern"
"Yellow-billed Blue-Magpie","Low","Least Concern"
"Bay Woodpecker","Low","Least Concern"
"Black Kite","Low","Least Concern"
"Common Rosefinch","Low","Least Concern"
"Gray-cheeked Warbler","Low","Least Concern"
"Gray-hooded Warbler","Low","Least Concern"
"Green Shrike-Babbler","Low","Least Concern"
"Large Hawk-Cuckoo","Low","Least Concern"
"Streak-breasted Scimitar-Babbler","Low","Least Concern"
"Striated Laughingthrush","Low","Least Concern"
"Chestnut-crowned Laughingthrush","Low","Least Concern"
"Green-backed Tit","Low","Least Concern"
"Large Niltava","Low","Least Concern"
"Red-billed Leiothrix","Low","Least Concern"
"White-capped Redstart","Low","Least Concern"
"White-collared Blackbird","Low","Least Concern"
"White-throated Bulbul","Low","Least Concern"
"Black-backed Forktail","Low","Least Concern"
"Black-chinned Yuhina","Low","Least Concern"
"Black-crested Bulbul","Low","Least Concern"
"Blue-eared Barbet","Low","Least Concern"
"Chestnut-bellied Nuthatch","Low","Least Concern"
"Common Kingfisher","Low","Least Concern"
"Crimson Sunbird","Low","Least Concern"
"Graylag Goose","Low","Least Concern"
"Great Cormorant","Low","Least Concern"
"Lesser Necklaced Laughingthrush","Low","Least Concern"
"Oriental Honey-buzzard","Low","Least Concern"
"Pin-striped Tit-Babbler","Low","Least Concern"
"Ruddy Shelduck","Low","Least Concern"
"Rufous-necked Laughingthrush","Low","Least Concern"
"Spotted Dove","Low","Least Concern"
"Striated Grassbird","Low","Least Concern"
"Tickell's Leaf Warbler","Low","Least Concern"
"White-throated Kingfisher","Low","Least Concern"
"Cattle Egret","Low","Least Concern"
"Cinereous Tit","Low","Least Concern"
"Common Myna","Low","Least Concern"
"Large Woodshrike","Low","Least Concern"
"Lineated Barbet","Low","Least Concern"
"Little Egret","Low","Least Concern"
"Rufous Woodpecker","Low","Least Concern"
"Yellow-bellied Warbler","Low","Least Concern"
"Golden-fronted Leafbird","Low","Least Concern"
"Eurasian Jay","Low","Least Concern"
"Gray-sided Bush Warbler","Low","Least Concern"
"Black-winged Cuckooshrike","Low","Least Concern"
"Chestnut-headed Tesia","Low","Least Concern"
"Collared Owlet","Low","Least Concern"
"Gray-bellied Tesia","Low","Least Concern"
