Common Name,Scientific Name,Source,SoIB Concern Status,IUCN Red List,WLPA Schedule
Fulvous Whistling-Duck,Dendrocygna bicolor,eBird,Low,Least Concern,Schedule-I
Lesser Whistling-Duck,Dendrocygna javanica,eBird,Low,Least Concern,Schedule-IV
Graylag Goose,Anser anser,eBird,Low,Least Concern,Schedule-IV
Ruddy Shelduck,Tadorna ferruginea,eBird,Low,Least Concern,Schedule-IV
Gadwall,Mareca strepera,eBird,Low,Least Concern,Schedule-IV
Eurasian Wigeon,Mareca penelope,eBird,Low,Least Concern,Schedule-IV
Indian Spot-billed Duck,Anas poecilorhyncha,eBird,Low,Least Concern,Schedule-IV
Northern Pintail,Anas acuta,eBird,Low,Least Concern,Schedule-IV
Tufted Duck,Aythya fuligula,eBird,Low,Least Concern,Schedule-IV
Common Merganser,Mergus merganser,eBird,Low,Least Concern,Schedule-IV
Hill Partridge,Arborophila torqueola,eBird,Low,Least Concern,Schedule-IV
Chestnut-breasted Partridge,Arborophila mandellii,eBird,High,Vulnerable,Schedule-IV
Rufous-throated Partridge,Arborophila rufogularis,eBird,Moderate,Least Concern,Schedule-IV
White-cheeked Partridge,Arborophila atrogularis,eBird,Moderate,Near Threatened,Schedule-IV
Gray Peacock-Pheasant,Polyplectron bicalcaratum,eBird,NA,Least Concern,Schedule-I
Blue-breasted Quail,Synoicus chinensis,eBird,NA,Least Concern,Schedule-IV
Swamp Francolin,Francolinus gularis,eBird,High,Vulnerable,Schedule-IV
Red Junglefowl,Gallus gallus,eBird,Low,Least Concern,Schedule-IV
Blood Pheasant,Ithaginis cruentus,eBird,Moderate,Least Concern,Schedule-I
Himalayan Monal,Lophophorus impejanus,eBird,Low,Least Concern,Schedule-I
Sclater's Monal,Lophophorus sclateri,eBird,High,Vulnerable,Schedule-I
Blyth's Tragopan,Tragopan blythii,eBird,High,Vulnerable,Schedule-I
Temminck's Tragopan,Tragopan temminckii,eBird,NA,Least Concern,Schedule-I
Kalij Pheasant,Lophura leucomelanos,eBird,Low,Least Concern,Schedule-I
Rock Pigeon,Columba livia,eBird,Low,Least Concern,Schedule-IV
Speckled Wood-Pigeon,Columba hodgsonii,eBird,Low,Least Concern,Schedule-IV
Ashy Wood-Pigeon,Columba pulchricollis,eBird,Moderate,Least Concern,Schedule-IV
Pale-capped Pigeon,Columba punicea,eBird,High,Vulnerable,Schedule-IV
Oriental Turtle-Dove,Streptopelia orientalis,eBird,Low,Least Concern,Schedule-IV
Spotted Dove,Streptopelia chinensis,eBird,Low,Least Concern,Schedule-IV
Barred Cuckoo-Dove,Macropygia unchall,eBird,Low,Least Concern,Schedule-IV
Asian Emerald Dove,Chalcophaps indica,eBird,Low,Least Concern,Schedule-IV
Ashy-headed Green-Pigeon,Treron phayrei,eBird,NA,Near Threatened,Schedule-IV
Thick-billed Green-Pigeon,Treron curvirostra,eBird,NA,Least Concern,Schedule-IV
Pin-tailed Green-Pigeon,Treron apicauda,eBird,Low,Least Concern,Schedule-IV
Wedge-tailed Green-Pigeon,Treron sphenurus,eBird,Low,Least Concern,Schedule-IV
Green Imperial-Pigeon,Ducula aenea,eBird,Low,Least Concern,Schedule-IV
Mountain Imperial-Pigeon,Ducula badia,eBird,Moderate,Least Concern,Schedule-IV
Bengal Florican,Houbaropsis bengalensis,eBird,High,Critically Endangered,Schedule-I
Greater Coucal,Centropus sinensis,eBird,Low,Least Concern,Schedule-IV
Lesser Coucal,Centropus bengalensis,eBird,Low,Least Concern,Schedule-IV
Green-billed Malkoha,Phaenicophaeus tristis,eBird,Low,Least Concern,Schedule-IV
Chestnut-winged Cuckoo,Clamator coromandus,eBird,NA,Least Concern,Schedule-IV
Asian Koel,Eudynamys scolopaceus,eBird,Low,Least Concern,Schedule-IV
Asian Emerald Cuckoo,Chrysococcyx maculatus,eBird,NA,Least Concern,Schedule-IV
Banded Bay Cuckoo,Cacomantis sonneratii,eBird,Moderate,Least Concern,Schedule-IV
Plaintive Cuckoo,Cacomantis merulinus,eBird,Moderate,Least Concern,Schedule-IV
Square-tailed Drongo-Cuckoo,Surniculus lugubris,eBird,Low,Least Concern,Schedule-IV
Large Hawk-Cuckoo,Hierococcyx sparverioides,eBird,Low,Least Concern,Schedule-IV
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,eBird,NA,Least Concern,Schedule-IV
Lesser Cuckoo,Cuculus poliocephalus,eBird,Moderate,Least Concern,Schedule-IV
Indian Cuckoo,Cuculus micropterus,eBird,Moderate,Least Concern,Schedule-IV
Himalayan Cuckoo,Cuculus saturatus,eBird,Moderate,Least Concern,Schedule-IV
Common Cuckoo,Cuculus canorus,eBird,Moderate,Least Concern,Schedule-IV
Hodgson's Frogmouth,Batrachostomus hodgsoni,eBird,NA,Least Concern,Schedule-I
Great Eared-Nightjar,Lyncornis macrotis,eBird,NA,Least Concern,Schedule-IV
Gray Nightjar,Caprimulgus jotaka,eBird,NA,Least Concern,Schedule-IV
Large-tailed Nightjar,Caprimulgus macrurus,eBird,NA,Least Concern,Schedule-IV
White-throated Needletail,Hirundapus caudacutus,eBird,NA,Least Concern,Schedule-IV
Himalayan Swiftlet,Aerodramus brevirostris,eBird,Moderate,Least Concern,Schedule-IV
Blyth's Swift,Apus leuconyx,eBird,Moderate,Least Concern,Schedule-IV
House Swift,Apus nipalensis,eBird,NA,Least Concern,Schedule-IV
Asian Palm-Swift,Cypsiurus balasiensis,eBird,Low,Least Concern,Schedule-IV
Eurasian Moorhen,Gallinula chloropus,eBird,Low,Least Concern,Schedule-IV
Eurasian Coot,Fulica atra,eBird,Moderate,Least Concern,Schedule-IV
Gray-headed Swamphen,Porphyrio poliocephalus,eBird,Moderate,Least Concern,Schedule-IV
Watercock,Gallicrex cinerea,eBird,Moderate,Least Concern,Schedule-IV
White-breasted Waterhen,Amaurornis phoenicurus,eBird,Low,Least Concern,Schedule-IV
Ibisbill,Ibidorhyncha struthersii,eBird,NA,Least Concern,Schedule-IV
Northern Lapwing,Vanellus vanellus,eBird,Moderate,Near Threatened,Schedule-IV
River Lapwing,Vanellus duvaucelii,eBird,Moderate,Near Threatened,Schedule-IV
Red-wattled Lapwing,Vanellus indicus,eBird,Low,Least Concern,Schedule-IV
Kentish Plover,Charadrius alexandrinus,eBird,Moderate,Least Concern,Schedule-IV
Little Ringed Plover,Charadrius dubius,eBird,Moderate,Least Concern,Schedule-IV
Greater Painted-Snipe,Rostratula benghalensis,eBird,Moderate,Least Concern,Schedule-IV
Pheasant-tailed Jacana,Hydrophasianus chirurgus,eBird,Moderate,Least Concern,Schedule-IV
Temminck's Stint,Calidris temminckii,eBird,Moderate,Least Concern,Schedule-IV
Little Stint,Calidris minuta,eBird,Moderate,Least Concern,Schedule-IV
Eurasian Woodcock,Scolopax rusticola,eBird,NA,Least Concern,Schedule-IV
Solitary Snipe,Gallinago solitaria,eBird,NA,Least Concern,Schedule-IV
Wood Snipe,Gallinago nemoricola,eBird,NA,Vulnerable,Schedule-IV
