"NAME","locations","criterion1.aggregations","criterion2.threatened","criterion3.nearthreatened"
"Gulf of Mannar Marine","Manauli Island,Hare Island",NA,"Great Knot","Eurasian Curlew,Eurasian Oystercatcher"
"Hastinapur","Haiderpur Wetlands and Bijnor Barrage",NA,NA,"Great Thick-knee,Eurasian Curlew,River Lapwing"
"Kachchh Desert","Great Rann of Kachchh--Khadir Beyt Rd,Banni Grasslands--Lodai","53087,2245,5104,5123,11054","Sociable Lapwing",NA
"Khijadia","Sachana Beach,Khijadiya Bird Sanctuary",NA,"Great Knot","Eurasian Oystercatcher,Eurasian Curlew"
"Marine (Gulf of Kachchh)","Balachadi Beach,Khijadiya Bird Sanctuary,Marine NP--Narara,Saltpans on INS Valsura Rd,Marine NP--Pirotan Island,Saltpans on Navlakhi Port Rd","2316,2467,2465,2289,6257,2109,2466,4040,3459,3710,2168","Great Knot","Eurasian Curlew,Eurasian Oystercatcher,Great Thick-knee"
"Nal Sarovar","Nalsarovar Bird Sanctuary","15024,2600,3355,2705","Sociable Lapwing",NA
"Pabitora","Pobitora WLS",NA,NA,"Northern Lapwing"
"Point Calimere","Point Calimere Wildlife Sanctuary",NA,NA,"Eurasian Curlew"
"Pong Dam Lake","Pong Dam--Nagrota Surian,Pong Dam--Goglara",NA,NA,"River Lapwing,Great Thick-knee"
"Pulicat Lake","Pulicat Lake","22351,3252,2434,3286,3308",NA,NA
"Rajaji","Rajaji NP--Gohri Range,Rajaji NP--Kaudiya/Gangabhogpur",NA,NA,"River Lapwing,Great Thick-knee"
"Ranganathittu Bird","Ranganathittu Bird Sanctuary",NA,NA,"Great Thick-knee"
"Ranthambhore","Ranthambore NP",NA,NA,"Great Thick-knee"
"Sajnakhali","Sunderbans Tiger Reserve",NA,NA,"Eurasian Curlew"
"Wild Ass","Little Rann of Kachchh--Nanda East,Little Rann of Kachchh--West,Little Rann of Kachchh",NA,"Sociable Lapwing",NA
"10161","Tuss Khadi Beach,Bhuigaon Beach,Gogte Saltpans,Datiware Beach,Agashi Suruchi",NA,"Great Knot","Eurasian Oystercatcher,Eurasian Curlew"
"10291","Merces Beach,Bena Beach",NA,NA,"Eurasian Curlew"
"10292","Bhandup Pumping Station,Thane creek Flamingo Sanctuary,Thane Creek","5755,3816,3541,7130,2127,3223,2029,4183,2999,2055",NA,"Eurasian Curlew"
"10421","Sewri Jetty",NA,NA,"Eurasian Curlew"
