LATITUDE,LONGITUDE,Location
25.1445413,88.1741332,Adina Deer Park
12.5492206,75.2406811,Adoor-Pandi (General location)
27.1758964,78.0090396,Agra
22.5834551,88.2145167,Alampur
26.4998061,80.3031104,Allen Forest Kanpur
26.5026918,80.3027965,Allen Forest Zoo
26.4780063,80.3483069,Amba Hospital
22.3326986,85.185888,Andua
12.276928,75.159213,"Angakkalari temple, Nileshwaram"
22.3308329,85.1857164,Ankua
12.5502875,75.0269324,Aranthode
8.847602,77.031682,Arippa
26.4544662,80.279331,Azad Nagar
32.5335785,77.0176857,B/W Gondla & Kyelang
32.543535,77.0204838,B/W Kyelang & Gondla
32.5983201,77.1337342,B/W Kyelang & Jispar
32.5648958,77.0025861,B/W Kyelang Tandi Bridge
32.4443537,77.1684785,B/W Sissoo  and  Koksar
32.4892769,77.0494446,B/W Sissoo & Gondla
21.0725476,80.4521626,Baghnadi
25.1769072,87.911797,Baharal
26.4863226,80.4614639,"Banthar, Unnao"
24.9697765,88.1016827,Bara Sagardighi Fish Farm
22.1848806,85.3606375,Baraiburu
32.7596759,77.4171879,Baralacha Pass
26.3311183,91.0041448,Barpeta-Gauhati
26.528983,80.341333,Beach Area
26.5197069,80.3268011,Beach Area-Ganga Barrage
26.5466221,80.3342691,Beach-Ber Orchard
26.5664528,80.3103724,Beach-Hanumangarhi-Ber Orchard
26.5701815,80.3030895,Ber Orchard Area
26.5700748,80.302982,Ber Orchard Temple Area
26.5481318,80.3294158,Ber Orchard-Beach
26.5443281,80.3347305,Ber Orchard-Ma Kalika Mandir
26.5645797,80.3944168,Ber Orchard-Unnao
26.5327905,80.4650688,Ber Orchard-Unnao-Ganga Bank
26.5083303,80.3171697,Ber Orchard-Unnao-Ganga Barrage-Ganga Bank
26.5696395,80.3030846,Ber Orch-Sidhnath Temple
32.6399779,77.1919592,Bhaga River
27.21424,77.5047197,Bharatpur
27.236386,77.4890148,Bharatpur Railway Station
27.1788819,77.5170422,Bharatpur--Keoladeo Ghana NP
26.452636,80.3599209,Billabong High International School
26.6064093,80.2742887,Bithoor on the Ganges
26.6122135,80.276364,Bithoor Rivulet
26.6115925,80.2728015,Bithoor Road
26.5776782,80.3161031,Bithoor-Beach-Ber Orchard
19.0754104,72.877534,Bombay
11.134416,75.895925,Calicut university campus
26.496278,80.3063017,Chandra Shekhar Agriculture University-Allen Forest
26.4911623,80.3070438,Chandra Shekhar Azad University of Agriculture & Technology
32.4846855,77.6137304,"Chandra Taal, Lahaul and Spiti"
26.4916926,80.3193,Chandralok
25.3001751,79.0354638,Chatarpur Road-Jhansi
12.451861,74.998536,Chemberika Beach
32.3186311,77.3645768,Chhatru
22.3130282,85.2783251,Chiriya
29.5335204,78.7952782,Corbett
34.1408841,75.0378036,Dachigam National park
32.6333137,76.8235932,Dandak
32.6739343,77.2076027,Darcha
28.5654445,77.2342259,Delhi Zoo-Qutab Minar
26.455678,80.2545201,DIL
12.1367878,75.1591509,Edayilakad area
26.677848,79.7799006,Etah-Kanpur-Del H'way
24.8081032,87.9192173,Farakka Barrage Tal Tola Ghat
24.8044568,87.9320557,Farakka Barrrage
24.9578841,87.9770337,Farakka IBA Panchanandapur
24.8737389,88.1304564,Firoz Minar
32.3004313,77.6086156,Futi Runi
26.4618282,80.3800187,Ganga
