"COMMON.NAME","SCIENTIFIC.NAME"
"Asian Koel","Eudynamys scolopaceus"
"Great Egret","Ardea alba"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Northern Pintail","Anas acuta"
"Eurasian Wigeon","Mareca penelope"
"Common Greenshank","Tringa nebularia"
"River Tern","Sterna aurantia"
"Black Kite","Milvus migrans"
"Garganey","Spatula querquedula"
"Little Swift","Apus affinis"
"Red-rumped Swallow","Cecropis daurica"
"White-browed Wagtail","Motacilla maderaspatensis"
"Oriental Honey-buzzard","Pernis ptilorhynchus"
"Pied Bushchat","Saxicola caprata"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Little Cormorant","Microcarbo niger"
"Banded Bay Cuckoo","Cacomantis sonneratii"
"Indian Swiftlet","Aerodramus unicolor"
"Little Egret","Egretta garzetta"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis"
"Black-tailed Godwit","Limosa limosa"
"Striated Heron","Butorides striata"
"Spotted Dove","Streptopelia chinensis"
"Black-hooded Oriole","Oriolus xanthornus"
"White-cheeked Barbet","Psilopogon viridis"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Blue Rock-Thrush","Monticola solitarius"
"Bank Myna","Acridotheres ginginianus"
"Bronze-winged Jacana","Metopidius indicus"
"Black-throated Munia","Lonchura kelaarti"
"Pallas's Sandgrouse","Syrrhaptes paradoxus"
"Eurasian Coot","Fulica atra"
"Greater Coucal","Centropus sinensis"
"Indian Robin","Copsychus fulicatus"
"Red-wattled Lapwing","Vanellus indicus"
"Yellow-billed Babbler","Turdoides affinis"
"Spot-billed Pelican","Pelecanus philippensis"
"Yellow-wattled Lapwing","Vanellus malabaricus"
"Bronzed Drongo","Dicrurus aeneus"
"Plum-headed Parakeet","Psittacula cyanocephala"
"Mottled Wood-Owl","Strix ocellata"
"Cinereous Tit","Parus cinereus"
"Wood Sandpiper","Tringa glareola"
"White-throated Bulbul","Alophoixus flaveolus"
"Dunlin","Calidris alpina"
"Common Myna","Acridotheres tristis"
"Great Cormorant","Phalacrocorax carbo"
"Jungle Babbler","Turdoides striata"
"Gray Heron","Ardea cinerea"
"Himalayan Black-lored Tit","Machlolophus xanthogenys"
"White-cheeked Nuthatch","Sitta leucopsis"
"Malabar Trogon","Harpactes fasciatus"
"Crested Serpent-Eagle","Spilornis cheela"
"Bar-headed Goose","Anser indicus"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White-crested Laughingthrush","Garrulax leucolophus"
"Indian Silverbill","Euodice malabarica"
"Gray Wagtail","Motacilla cinerea"
"White-winged Duck","Asarcornis scutulata"
"Cattle Egret","Bubulcus ibis"
"Greenish Warbler","Phylloscopus trochiloides"
"Little Tern","Sternula albifrons"
"Gray-breasted Prinia","Prinia hodgsonii"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Common Pochard","Aythya ferina"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Rufous-bellied Niltava","Niltava sundara"
"Indian Pond-Heron","Ardeola grayii"
"Wreathed Hornbill","Rhyticeros undulatus"
"Black-winged Kite","Elanus caeruleus"
"Little Stint","Calidris minuta"
"Vernal Hanging-Parrot","Loriculus vernalis"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Black-throated Thrush","Turdus atrogularis"
"Eurasian Tree Sparrow","Passer montanus"
"Common Kingfisher","Alcedo atthis"
"Long-tailed Shrike","Lanius schach"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Siberian Stonechat","Saxicola maurus"
"Brown-headed Gull","Chroicocephalus brunnicephalus"
"Black Drongo","Dicrurus macrocercus"
"White-browed Fantail","Rhipidura aureola"
"Olive-backed Pipit","Anthus hodgsoni"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris"
"Buff-barred Warbler","Phylloscopus pulcher"
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Ruby-cheeked Sunbird","Chalcoparia singalensis"
"Rock Bunting","Emberiza cia"
"Red-headed Bullfinch","Pyrrhula erythrocephala"
"Gray Bushchat","Saxicola ferreus"
"Oriental Magpie-Robin","Copsychus saularis"
"Common House-Martin","Delichon urbicum"
"Eurasian Wryneck","Jynx torquilla"
"Hill Partridge","Arborophila torqueola"
"Intermediate Egret","Ardea intermedia"
"White-throated Kingfisher","Halcyon smyrnensis"
"Gray-headed Lapwing","Vanellus cinereus"
"Red-vented Bulbul","Pycnonotus cafer"
"Thick-billed Flowerpecker","Dicaeum agile"
"Rusty-cheeked Scimitar-Babbler","Megapomatorhinus erythrogenys"
"Bearded Vulture","Gypaetus barbatus"
"White-rumped Vulture","Gyps bengalensis"
"Brahminy Starling","Sturnia pagodarum"
"Puff-throated Babbler","Pellorneum ruficeps"
"Eurasian Marsh-Harrier","Circus aeruginosus"
"Green Sandpiper","Tringa ochropus"
"Asian Barred Owlet","Glaucidium cuculoides"
"Green Bee-eater","Merops orientalis"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Black-headed Cuckooshrike","Lalage melanoptera"
"Booted Eagle","Hieraaetus pennatus"
"Steppe Eagle","Aquila nipalensis"
"Spectacled Finch","Callacanthis burtoni"
"Bay-backed Shrike","Lanius vittatus"
"White-throated Fantail","Rhipidura albicollis"
"Eurasian Sparrowhawk","Accipiter nisus"
"Red-breasted Parakeet","Psittacula alexandri"
"Common Babbler","Turdoides caudata"
"Yellow-eyed Babbler","Chrysomma sinense"
"Great Hornbill","Buceros bicornis"
"Gray-capped Woodpecker","Yungipicus canicapillus"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus"
"Verditer Flycatcher","Eumyias thalassinus"
"Indian Roller","Coracias benghalensis"
"White-bellied Drongo","Dicrurus caerulescens"
"Russet Sparrow","Passer cinnamomeus"
"Common Tailorbird","Orthotomus sutorius"
"Blyth's Leaf Warbler","Phylloscopus reguloides"
"Blue-throated Barbet","Psilopogon asiaticus"
"Hair-crested Drongo","Dicrurus hottentottus"
"Common Sandpiper","Actitis hypoleucos"
"House Sparrow","Passer domesticus"
"Tickell's Blue Flycatcher","Cyornis tickelliae"
"Woolly-necked Stork","Ciconia episcopus"
"Green-tailed Sunbird","Aethopyga nipalensis"
"Little Grebe","Tachybaptus ruficollis"
"Himalayan Shrike-Babbler","Pteruthius ripleyi"
"Alpine Swift","Apus melba"
"Eurasian Hoopoe","Upupa epops"
"Orange Minivet","Pericrocotus flammeus"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Gray-headed Bulbul","Brachypodius priocephalus"
"Lesser Racket-tailed Drongo","Dicrurus remifer"
"Yellow-bellied Fairy-Fantail","Chelidorhynx hypoxanthus"
"Osprey","Pandion haliaetus"
"Common Iora","Aegithina tiphia"
"Baya Weaver","Ploceus philippinus"
"Himalayan Cuckoo","Cuculus saturatus"
"Red-headed Vulture","Sarcogyps calvus"
"Striated Laughingthrush","Grammatoptila striata"
"Black-headed Ibis","Threskiornis melanocephalus"
"Himalayan Griffon","Gyps himalayensis"
"Gadwall","Mareca strepera"
"Asian Openbill","Anastomus oscitans"
"Large-billed Crow","Corvus macrorhynchos"
"Brown-breasted Flycatcher","Muscicapa muttui"
"Green-winged Teal","Anas crecca"
"Large Cuckooshrike","Coracina macei"
"Plain Prinia","Prinia inornata"
"Pied Kingfisher","Ceryle rudis"
"Terek Sandpiper","Xenus cinereus"
"Indian White-eye","Zosterops palpebrosus"
"Common Redshank","Tringa totanus"
"Large Gray Babbler","Turdoides malcolmi"
"Caspian Tern","Hydroprogne caspia"
"Indian Courser","Cursorius coromandelicus"
"House Crow","Corvus splendens"
"Asian Brown Flycatcher","Muscicapa dauurica"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Bar-winged Flycatcher-shrike","Hemipus picatus"
"Streaked Weaver","Ploceus manyar"
"White-throated Laughingthrush","Ianthocincla albogularis"
"Streaked Laughingthrush","Trochalopteron lineatum"
"Black-throated Sunbird","Aethopyga saturata"
"Rufous Treepie","Dendrocitta vagabunda"
"Ruddy Shelduck","Tadorna ferruginea"
"Jungle Prinia","Prinia sylvatica"
"Spotted Owlet","Athene brama"
"Rose-ringed Parakeet","Psittacula krameri"
"Common Woodshrike","Tephrodornis pondicerianus"
"White-rumped Munia","Lonchura striata"
"White Wagtail","Motacilla alba"
"Imperial Eagle","Aquila heliaca"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Himalayan Bulbul","Pycnonotus leucogenys"
"Chestnut-bellied Sandgrouse","Pterocles exustus"
"Brahminy Kite","Haliastur indus"
"Speckled Piculet","Picumnus innominatus"
"Marsh Sandpiper","Tringa stagnatilis"
"Painted Stork","Mycteria leucocephala"
"Temminck's Stint","Calidris temminckii"
"Brown-cheeked Fulvetta","Alcippe poioicephala"
"Black-rumped Flameback","Dinopium benghalense"
"Nepal Fulvetta","Alcippe nipalensis"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Oriental Darter","Anhinga melanogaster"
"Black Eagle","Ictinaetus malaiensis"
"Laughing Dove","Streptopelia senegalensis"
"Ashy Prinia","Prinia socialis"
"Pied Cuckoo","Clamator jacobinus"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Black-crested Bulbul","Rubigula flaviventris"
"Rufous-naped Tit","Periparus rufonuchalis"
"Northern Shoveler","Spatula clypeata"
"Eurasian Kestrel","Falco tinnunculus"
"Brown Shrike","Lanius cristatus"
"Rosy Starling","Pastor roseus"
