NAME,LOCALITY
2895,Pong Dam (Outside)
4205,Rampur Raighati Aht
4982,Surajpur Wetlands
4982,Manjhawali
5116,Ganga Khader Narora
5224,Jodbeer
6024,National Chambal Sanctuary--Dhaulpur (RJ side)
6024,National Chambal Gharial Sanctuary--Morena (MP side)
6027,National Chambal Sanctuary--Jaitpur
6034,Ganga Shivrajpur
6034,Ganga Hanumangarhi
6070,Fulbari Wetlands JG
6071,Gajoldoba Barrage JG
7676,Banni Grasslands
7677,Banni Grasslands--Hodka
7806,Banni grassland--Bhagadiya Thath
7806,Chhari Dhandh Conservation Reserve
7946,Little Rann of Kachchh--Nava Talav
7946,Little Rann of Kachchh--Savda Talab
8079,Thol Bird Sanctuary
8196,Modhva Beach
8196,Mandvi Beach
8196,Dhrabudi Beach
8198,Bhadreshwar Beach
8198,Luni coast
8208,Nalsarovar Outskirts--Aniyali
8208,Nalsarovar Outskirts--Shahpur
8208,Nal Sarovar Bird Sanctuary
8209,Nalsarovar Outskirts--Changodar Area
8209,Nalsarovar Outskirts--Adroda
8209,Nal Sarovar Outskirts--Chhabasa
8209,Nal Sarovar Outskirts--Jashapara
8329,Balachadi Beach
8459,Bedi Port Rd
8470,Juni Akhol
8716,Mendha Creek
8858,Kumbharwada Wetland
8858,Nava Bandar (New Port) Rd
8977,Mokarsagar Wetland Complex
8989,Haathab Beach
8989,Mithi Viradi Coastal Area
8989,Nishkalank Mahadev Beach
9054,Chandipur Beach
9059,Jambudweep Sandbar
9060,Bakkhali Sea Beach
9060,Kargil Sea Beach
9060,Kalisthan Sea Beach
9060,Henry's Island Sea Beach
9060,Fraserganj Sargil Beach
9699,Mundali
9699,Naraj
9900,Chinchani
9957,Chilika Lake--Mangalajodi
10161,Tuss Khadi Beach
10161,Bhuigaon Beach
10161,Gogte Saltpans
10161,Datiware Beach
10161,Agashi Suruchi
10291,Merces Beach
10291,Bena Beach
10292,Bhandup Pumping Station
10292,Thane creek Flamingo Sanctuary
10292,Thane Creek
10421,Sewri Jetty
10422,Panje
10422,T.S. Chanakya Wetlands
10422,Nerul Wetland Flamingo Point
10552,Dronagiri
10681,Akshi Beach
10681,Nagaon-Chaul Environs
11633,Kakinada Fishing Jetty
11893,Magasanitippa
12375,Chapora Estuary/Morjim Beach
12506,Arossim Beach
12506,Agacaim Tidal Mudflats
