LOCALITY,Standardized.Site.Name,LATITUDE,LONGITUDE
Kakinada Fishing Jetty (Kumbhabishekam),Kakinada,16.9578294,82.2678935
Coringa Wildlife Santuary,Coringa Wildlife Santuary,16.8369936,82.2856236
"Andhra Pradesh, IN (17.002, 82.283)",Kakinada,17.0020311,82.2830672
Coromandel International Ltd,Kakinada,16.9875683,82.2722232
Wetland opposite Coromandel fertilizers,Kakinada,16.9956434,82.2679424
"Unnamed Road, Kakinada, Andhra Pradesh, IN (16.986, 82.284)",Kakinada,16.9859083,82.284235
"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",Coringa Wildlife Santuary,16.5951361,82.2655871
"Jan 6, 2021 6:17 AM On The Way To Sacramento 16.597, 82.272",Coringa Wildlife Santuary,16.5969957,82.2720739
"Hope Island, Kakinada",Hope Island,16.972331,82.345178
"Uppada Beach Road, Kakinada, Andhra Pradesh, IN (16.998, 82.28)",Kakinada,16.9979006,82.2798387
"Coringa bird census, Old light house route (16.839, 82.304)",Coringa Wildlife Santuary,16.8392412,82.3037681
"IN-AP-Kakinada - 16.8197x82.3309 - 26-Jan-2016, 6:47 AM",Coringa Wildlife Santuary,16.81973,82.330915
"Unnamed Road, Kakinada, Andhra Pradesh, IN (16.99, 82.253)",Kakinada,16.9900479,82.2533131
Gadimoga,Coringa Wildlife Santuary,16.7597222,82.2716667
Coringa Wildlife Sanctuary,Coringa Wildlife Santuary,16.8379122,82.2778659
Port Area,Kakinada,16.938869,82.259628
"Kakinada, Andhra Pradesh, IN (16.985, 82.276)",Kakinada,16.9847879,82.2759029
"Light House Road, Andhra Pradesh, IN (16.593, 82.266)",Kakinada,16.5926983,82.2656556
Yetimoga,Kakinada,16.948393,82.246253
"Koringa Wild Life Sanctuary Road, Chollangi, Andhra Pradesh, IN (16.88, 82.249)",Coringa Wildlife Santuary,16.880192,82.2493356
"Coringa Mangrove forests, Andhra Pradesh",Coringa Wildlife Santuary,16.860356,82.3469925
Opposite of Coromondal International,Kakinada,16.9956434,82.2679424
Coringa Wildlife Sanctuary--Walkway-Boat House,Coringa Wildlife Santuary,16.880154,82.2454183
"water body nearparry sugers limited ,kakinada beach road",Kakinada,16.9989632,82.277532
"Vakalapudi Road, Kakinada, Andhra Pradesh, IN (16.992, 82.262)",Kakinada,16.9922099,82.2618807
"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",Kakinada,16.5951361,82.2655871
coramandel,Kakinada,16.998954,82.2799342
"Dairy Farm Road, Kakinada, Andhra Pradesh, IN (16.957, 82.266)",Kakinada,16.9570788,82.2658002
Coramandal International,Kakinada,16.9776101,82.2507204
"20 Dec 2020 19:1517.04, 82.302",Kakinada,17.0400324,82.301864
"Unnamed Road, Gachakayala Pora, Andhra Pradesh, IN (16.517, 82.142)",Katrenikona Lake,16.5166941,82.1416796
"Koringa Wild Life Sanctuary Road, Chollangi, Andhra Pradesh, IN (16.881, 82.245)",Coringa Wildlife Santuary,16.8805361,82.2451169
Creek near Coromandel,Kakinada,16.9963278,82.2796633
Kumbhabhishekam Temple,Kakinada,16.9619567,82.2657105
"IN (17, 82.287) Kakinada Beach",Kakinada,17.0003875,82.2865072
