STATE,STATE.CODE,OLD,COUNTY,COUNTY.CODE
TAMIL NADU,IN-TN,Chennai,Chennai,IN-TN-CH
HARYANA,IN-HR,Jhajjar,Jhajjar,IN-HR-JH
GOA,IN-GA,North Goa,North Goa,IN-GA-NG
TELANGANA,IN-TS,Hyderabad,Hyderabad,IN-TS-HY
KERALA,IN-KL,Idukki,Idukki,IN-KL-ID
KERALA,IN-KL,Thiruvananthapuram,Thiruvananthapuram,IN-KL-TV
KARNATAKA,IN-KA,Mysore,Mysuru,IN-KA-MY
RAJASTHAN,IN-RJ,Bhilwara,Bhilwara,IN-RJ-BW
TELANGANA,IN-TS,Mahbubnagar,Mahabubnagar,IN-TS-MA
MAHARASHTRA,IN-MH,Pune,Pune,IN-MH-PU
UTTAR PRADESH,IN-UP,Agra,Agra,IN-UP-AG
TELANGANA,IN-TS,Rangareddy,Ranga Reddy,IN-TS-RA
JHARKHAND,IN-JH,Purbi Singhbhum,Purbi Singhbhum,IN-JH-ES
KARNATAKA,IN-KA,Bangalore Rural,Bengaluru Rural,IN-KA-BR
DELHI,IN-DL,South West Delhi,South West,IN-DL-SW
KERALA,IN-KL,Malappuram,Malappuram,IN-KL-MA
RAJASTHAN,IN-RJ,Bharatpur,Bharatpur,IN-RJ-BP
MAHARASHTRA,IN-MH,Satara,Satara,IN-MH-ST
KERALA,IN-KL,Palakkad,Palakkad,IN-KL-PL
DELHI,IN-DL,South Delhi,South,IN-DL-SO
ASSAM,IN-AS,Golaghat,Golaghat,IN-AS-GG
WEST BENGAL,IN-WB,Darjiling,Darjiling,IN-WB-DA
JAMMU & KASHMIR,IN-JK,Baramula,Baramula,IN-JK-BR
CHHATTISGARH,IN-CT,Mahasamund,Mahasamund,IN-CT-MA
TAMIL NADU,IN-TN,Nagappattinam,Nagapattinam,IN-TN-NG
WEST BENGAL,IN-WB,Kolkata,Kolkata,IN-WB-KO
GOA,IN-GA,South Goa,South Goa,IN-GA-SG
MAHARASHTRA,IN-MH,Kolhapur,Kolhapur,IN-MH-KO
MEGHALAYA,IN-ML,East Khasi Hills,East Khasi Hills,IN-ML-EK
ARUNACHAL PRADESH,IN-AR,Changlang,Changlang,IN-AR-CH
UTTARAKHAND,IN-UL,Hardwar,Hardwar,IN-UL-HA
UTTAR PRADESH,IN-UP,Lucknow,Lucknow,IN-UP-LU
TELANGANA,IN-TS,Medak,Medak,IN-TS-ME
MAHARASHTRA,IN-MH,Mumbai,Mumbai,IN-MH-MC
TAMIL NADU,IN-TN,Kancheepuram,Kancheepuram,IN-TN-KC
UTTARAKHAND,IN-UL,Dehradun,Dehradun,IN-UL-DD
RAJASTHAN,IN-RJ,Sawai Madhopur,Sawai Madhopur,IN-RJ-SM
MADHYA PRADESH,IN-MP,Hoshangabad,Hoshangabad,IN-MP-HO
MAHARASHTRA,IN-MH,Sangli,Sangli,IN-MH-SN
TAMIL NADU,IN-TN,Coimbatore,Coimbatore,IN-TN-CO
HIMACHAL PRADESH,IN-HP,Bilaspur,Bilaspur,IN-HP-BI
DELHI,IN-DL,Central Delhi,Central,IN-DL-CE
UTTARAKHAND,IN-UL,Nainital,Nainital,IN-UL-NA
ARUNACHAL PRADESH,IN-AR,West Siang,West Siang,IN-AR-WS
KERALA,IN-KL,Ernakulam,Ernakulam,IN-KL-ER
ASSAM,IN-AS,Kamrup,Kamrup,IN-AS-KP
MADHYA PRADESH,IN-MP,Sidhi,Sidhi,IN-MP-SI
UTTARAKHAND,IN-UL,Chamoli,Chamoli,IN-UL-CL
JAMMU & KASHMIR,IN-JK,Ganderbal,Ganderbal,IN-JK-GN
TAMIL NADU,IN-TN,Tiruppur,Tiruppur,IN-TN-TP
HARYANA,IN-HR,Gurgaon,Gurugram,IN-HR-GU
CHHATTISGARH,IN-CT,Raigarh,Raigarh,IN-CT-RG
BIHAR,IN-BR,Patna,Patna,IN-BR-PA
KERALA,IN-KL,Kollam,Kollam,IN-KL-KL
KARNATAKA,IN-KA,Mandya,Mandya,IN-KA-MA
KARNATAKA,IN-KA,Bangalore,Bangalore,IN-KA-BN
WEST BENGAL,IN-WB,South 24 Parganas,South Twenty Four Parganas,IN-WB-PS
RAJASTHAN,IN-RJ,Jaisalmer,Jaisalmer,IN-RJ-JS
GUJARAT,IN-GJ,Surendranagar,Surendranagar,IN-GJ-SN
TAMIL NADU,IN-TN,Salem,Salem,IN-TN-SA
UTTAR PRADESH,IN-UP,Gautam Buddha Nagar,Gautam Buddha Nagar,IN-UP-GB
HIMACHAL PRADESH,IN-HP,Kangra,Kangra,IN-HP-KA
JAMMU & KASHMIR,IN-JK,Anantnag,Anantnag,IN-JK-AN
CHHATTISGARH,IN-CT,Raipur,Raipur,IN-CT-RP
HIMACHAL PRADESH,IN-HP,Mandi,Mandi,IN-HP-MA
UTTAR PRADESH,IN-UP,Mirzapur,Mirzapur,IN-UP-MI
TAMIL NADU,IN-TN,Erode,Erode,IN-TN-ER
MAHARASHTRA,IN-MH,Raigarh,Raigarh,IN-MH-RG
GUJARAT,IN-GJ,Ahmadabad,Ahmadabad,IN-GJ-AH
