nest,year,type,prev,c1,c2,exp,stat
21a,2021,Pylon,Ibis,3,3,82,S
21b,2021,Tree,Crow,NA,2,60,S
21c,2021,Pylon,Ibis,NA,3,43,S
21d,2021,Pylon,Crow,3,3,41,S
21e,2021,Pylon,Crow,NA,4,28,S
21f,2021,Pylon,NA,3,0,57,F
20a,2020,Pylon,Crow,3,3,23,S
20b,2020,Pylon,Ibis,3,1,40,S
20c,2020,Pylon,Ibis,4,4,40,S
20d,2020,Pylon,Crow,0,0,18,F
20e,2020,Pylon,Ibis,3,3,104,S
20f,2020,Tree,Ibis,NA,2,52,S
19a,2019,Tree,Crow,3,3,44,S
19b,2019,Pylon,Crow,NA,3,28,S
19c,2019,Pylon,NA,3,1,49,S
19d,2019,Tree,Crow,NA,2,28,S
19e,2019,Pylon,NA,NA,3,28,S
18a,2018,Pylon,Crow,3,3,35,S
18b,2018,Pylon,Crow,3,3,14,S
18c,2018,Pylon,NA,3,3,30,S
18d,2018,Pylon,Crow,3,2,50,S
18e,2018,Pylon,Crow,NA,4,24,S
17a,2017,Pylon,Crow,3,3,25,S
17b,2017,Tree,NA,4,4,23,S
17c,2017,Pylon,Crow,NA,3,0,S
17d,2017,Pylon,Crow,3,2,38,S
16a,2016,Tree,NA,4,4,30,S
16b,2016,Pylon,Crow,NA,3,0,S
16c,2016,Pylon,Crow,NA,2,30,S
15a,2015,Pylon,Crow,4,4,18,S
12a,2012,Pylon,Crow,NA,3,43,S
12b,2012,Tree,NA,4,2,47,S
11a,2011,Tree,Crow,3,3,70,S
11b,2011,Tree,Crow,NA,2,51,S
11c,2011,Pylon,Crow,3,3,44,S
9a,2009,Tree,Crow,3,2,14,S
8a,2008,Tree,Crow,2,2,24,S
8b,2008,Tree,Crow,3,2,15,S
6a,2006,Tree,Crow,3,3,24,S
